paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
INT_K,STRING_C,INT_C,STRING_C,INT_C,INT_C,STRING_C,STRING_C,INT_C,STRING_C,STRING_C,STRING_C,STRING_C,INT_C,INT_C,STRING_C,INT_C,INT_C,INT_C,INT_C,INT_C,INT_C,STRING_C,STRING_C,STRING_C,INT_C,STRING_C,INT_C
order,version,uid,position,show_type,sub_type,rotation,ob_range,obstruction,scale,prefab,need_id,target_id,level,index,respond_range,fog_id,fog_area_id,box_id,monster_id,question_mark,water_pipe_rotation,monster_area,trigger_area,extern_value,define_status,event_list_config,camera_type
序号,版本号,格子id,格子的坐标xyz,道具大类型（比如门）,分类小类型（比如红门、黄门等）,旋转,范围,是否是障碍,缩放比例,预制路径,关联id(可以是多个，逗号分割),关联id(可以是多个，逗号分割),关卡,水管序列编号,响应范围,迷雾id,迷雾区域id,宝箱id,怪物id,是否是问号怪,水管方向,区域id_战区,怪物区域触发（10001_0）,"通用字段,可以带任何东西",机关默认状态,事件列表(支持多组事件),相机移动类型
0,101,15051,"10,50.00308,30",12,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,1,0,,0,0,0,0,0,0,,,,0,,0
1,101,15053,"30.0455112457275,50.00308,51.9998359680176",14,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_ChuanSongZhen.prefab,,,1,0,,0,0,0,0,0,0,,,,0,,0
2,101,15055,"24,50.00308,35",44,0,"0,0,0","22.5,50.00308,30.5_21.5,50.00308,30.5_21.5,50.00308,29.5_22.5,50.00308,29.5",0,"1,1,1",Prefab/PuzzleMap/Prop/P_huoba_1.prefab,,,1,0,,0,0,0,0,0,0,,,,0,,0
3,101,15056,"17,50.00308,39",43,0,"0,270,0","15,50.00307,44_15,50.00307,38_19,50.00307,38_19,50.00307,44",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Diaoqiao_01.prefab,15055,,1,0,,0,0,0,0,0,0,,,,0,"0,15059,0,15065",0
4,101,15078,"28,50.00308,54",71,1,"0,0,0","28,4.999971,55.5_26,4.999971,55.5_26,4.999971,54.5_28,4.999971,54.5",0,"1,1,1",,,,1,0,,0,0,10011,0,0,0,,,,0,,0
5,101,15079,"26,50.00308,52",5,1,"0,270,0","25.5,50.00307,54_25.5,50.00307,50_26.5,50.00307,50_26.5,50.00307,54",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv1_co01.prefab,,,1,0,,0,0,0,90000102,0,0,,,,0,,0
6,101,15080,"17,50.00308,45",62,7,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,1,0,,0,0,0,0,0,0,,10001_0,15081,0,,1
