paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,MAP<INT:INT>_S,MAP<INT:INT>_S,INT_S,INT_S,MAP<INT:INT>_S
order,attack_point_damage_ratio,attack_back_range,tough_broke_value,temp_tough,kongfu_hit_time_ratio
动作id,打击点:伤害系数,打击点:击退距离系数,削韧值,动作临时韧性,打击点:计算受击档位武力比系数
1001001,1:13000,1:0,0,0,1:0
1001002,1:13000,1:0,0,0,1:0
1002001,1:13000,1:0,0,0,1:0
1002002,1:11000,1:0,0,0,1:0
1003001,1:13000,1:0,0,0,1:0
1003002,1:11000,1:0,0,0,1:0
1004001,1:12300,1:0,0,0,1:0
1004002,1:12700,1:0,0,0,1:0
1005001,1:12300,1:0,0,0,1:0
1005002,1:12700,1:0,0,0,1:0
1006001,1:12300,1:0,0,0,1:0
1006002,1:12700,1:0,0,0,1:0
14001001,1:10000,1:0,0,0,1:0
14001002,1:10000,1:0,0,0,1:0
3001001,1:13000,1:0,0,0,1:0
3001002,1:13000,1:0,0,0,1:0
3002001,1:16000,1:0,0,0,1:0
3002002,1:19000,1:0,0,0,1:0
3003001,1:16000,1:0,0,0,1:0
3003002,1:19000,1:0,0,0,1:0
4001001,1:15000,1:0,0,0,1:0
4001002,1:13000,1:0,0,0,1:0
4002001,1:15000,1:0,0,0,1:0
4002002,1:13000,1:0,0,0,1:0
4003001,1:16300,1:0,0,0,1:0
4003002,1:13000,1:0,0,0,1:0
7001001,1:14200,1:0,0,0,1:0
7001002,1:9900_2:10000,1:0,0,0,1:0
7003001,1:14200,1:0,0,0,1:0
7003002,1:9900_2:10000,1:0,0,0,1:0
7002001,1:14200,1:0,0,0,1:0
7002002,1:9900_2:10000,1:0,0,0,1:0
8001001,1:13700,1:0,0,0,1:0
8001002,1:17700,1:0,0,0,1:0
11001001,1:9700,1:0,0,0,1:0
11001002,1:8300,1:0,0,0,1:0
11002001,1:9700,1:0,0,0,1:0
11002002,1:8300,1:0,0,0,1:0
13003001,1:17300,1:0,0,0,1:0
13003002,1:17300,1:0,0,0,1:0
16001001,1:15000,1:0,0,0,1:0
16001002,1:20000,1:0,0,0,1:0
16001003,1:6000_2:11000_3:13000,1:0,0,0,1:0
21101,1:5000,1:5000,35,40,1:10000
21102,1:5000,1:5000,35,40,1:10000
21103,1:7200,1:7000,50,40,1:10000
21201,1:4300,1:4000,18,40,1:0
21202,1:13300,1:12500,52,40,1:0
21301,1:5000,1:4000,20,40,1:0
21302,1:3200,1:3000,15,40,1:0
21303,1:7700,1:9000,35,40,1:0
22101,1:3700,1:5000,20,40,1:0
22102,1:4700,1:6000,20,40,1:0
22103,1:7700,1:9000,30,40,1:0
22201,1:4500,1:5500,14,24,1:0
22202,1:4300,1:5000,14,24,1:0
22203,1:3000,1:4000,14,24,1:0
22204,1:2050_2:2450,1:2500_2:3000,7,24,1:0
22205,1:5000,1:6000,14,24,1:0
23101,1:3300,1:4500,10,20,1:0
23102,1:5300,1:7000,10,20,1:0
23103,1:1700_2:1700_3:1700_4:1700_5:1700,1:2400_2:2400_3:2400_4:2400_5:2400,8,60,1:0
23104,1:4000,1:4100,10,20,1:0
23201,1:3800,1:4750,10,20,1:0
23202,1:3300,1:4250,10,20,1:0
23203,1:2000,1:2700,10,20,1:0
23204,1:2200,1:3000,10,20,1:0
23205,1:1300,1:1800,10,20,1:0
23206,1:9500,1:12000,20,20,1:0
