paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,STRING,STRING,INT_S,INT_S
attr_id,name,desc,skill_id,auto_skill_id
属性id,属性名,备注,技能id,自动技能
3041101,击中回血固定值,4000001,4000001,0
3540100,攻击速度提高,,54010051,0
3540300,攻击提高,,54030051,0
3540500,防御提高,,54050051,0
3540700,生命提高,,54070051,0
3540900,击中回血效果提高,,54090051,0
3541100,暴击几率提高,,54110051,0
3541300,暴击伤害提高,,54130051,0
3541500,伤害提高,,54150051,0
3541700,受到伤害提高,,54170051,0
3541900,持续伤害提高,,54190051,0
3542100,受到持续伤害提高,,54210051,0
3542300,移动速度提高,,54230051,0
3542500,获取护盾提高,,54250051,0
3550100,攻击几率使目标冰冻,55010001,55010001,0
3550400,攻击次数触发释放冰霜新星,55020001,0,550001
3550600,冰霜新星触发释放冰霜新星,55030001,0,550002
3550800,使冰冻目标再次冰冻时触发额外伤害,55040001,55040001,0
3551000,使目标冰冻时造成额外伤害,55050001,55050001,0
3551200,攻击冰冻目标时造成额外伤害,55060001,55060001,0
3551400,冰霜新星必定使目标冰冻,55070001,55070001,0
3550300,冰霜新星,5000001,5000001,0
3560100,攻击几率使目标燃烧,56010001,56010001,0
3560400,攻击次数触发释放陨石,56040001,0,560001
3560600,燃烧造成的伤害提高,56060001,56060001,0
3560800,陨石必定使目标燃烧,56080001,56080001,0
3561000,燃烧怪物死亡，释放死亡爆炸,56100001,0,560002
3561300,燃烧时被攻击受到额外伤害,56130001,56130001,0
3560300,陨石,6000001,6000001,0
3561200,死亡爆炸,6010001,6010001,0
3570100,攻击几率使目标触电,57010001,57010001,0
3570400,闪电链可弹射,57040001,57040001,0
3570600,攻击次数触发释放闪电链,57060001,0,570001
3570800,触电时被攻击受到额外伤害，视为触电伤害,57060001,57080001,0
3571000,使目标触电时立刻造成触电伤害,57100001,57100001,0
3571200,触发触电伤害时触发释放电磁爆炸,57120001,0,570002
3570300,闪电链,7000001,7000001,0
3571400,电磁爆炸,7010001,7010001,0
3580100,攻击几率使目标中毒,58010001,58010001,0
3580400,攻击次数触发释放传染,58040001,0,580001
3580600,使中毒目标再次中毒时造成额外伤害,58060001,58060001,0
3580800,击杀中毒怪物时触发释放瘟疫,58080001,0,580002
3581200,使目标获得瘟疫状态,58110001,58110001,0
3580300,传染,8000001,8000001,0
3581000,瘟疫,8010001,8010001,0
3590100,每损失指定比例血量触发获得护盾,59010001,0,590001
3590300,护盾值-根据自身生命最大值比例,59030001,59030001,0
3590500,拥有护盾时同时有受伤降低效果,59050001,0,590002
3590700,击杀怪物触发击杀回血效果,59070001,0,590003
3590900,击杀回血-回复量根据击中回血数值倍率,59090001,59090001,0
3591100,满血触发效果,59110001,0,590004
3591300,低血时同时有受到伤害降低效果,59130001,0,590005
3591500,死亡时触发释放复活,59150001,0,590006
3591800,复活时回复血量、触发间隔、每轮挑战最大次数,59180001,59180001,0
3592000,击杀回血效果提高,59200001,59240001,0
3591700,复活,9000001,9000001,0
3592200,普攻击中触发回血效果,,0,620001
3592300,普攻击中回血效果提高,,59280001,0
3600100,攻击次数触发释放多重打击,60010001,0,600001
3600300,提高多重打击的额外伤害,60030001,60030001,0
3600600,攻击次数触发释放旋风斩,60060001,0,600002
3600900,释放旋风斩触发释放半月斩,60090001,0,600003
3601200,光环技能-自身效果：光环范围提高-范围内敌人受到伤害提高-范围内敌人造成伤害降低,60110001,60110001,0
3600500,旋风斩,10010001,10010001,0
3600800,半月斩,10020001,10020001,0
3610200,攻击次数触发技能重击,61020001,0,610001
3610400,重击技能暴击率提高,61040001,61040001,0
3610600,暴击触发技能：暴击伤害提高、重击需要的攻击次数累计值+1，致命暴击状态,61060001,0,610002
3610800,暴击伤害提高,61080001,61080001,0
3611000,技能攻击累计额外次数,61100001,61100001,0
3611200,致命暴击状态触发技能攻击速度提高,61120001,61120001,0
3611400,目标血量低于百万分比触发斩杀,61140001,0,610003
3611600,斩杀时暴击触发斩杀血线变化,61160001,0,610004
3610100,重击,11010001,11010001,0
4590900,杀怪掉落血瓶回复生命,,30001,0
5500100,每8秒获得自身生命上限20%的护盾值，持续4秒,,955001001,0
5000100,每隔7秒，自动获得寒冰弹技能,,95000100,0
5000101,寒冰弹技能,,95000101,0
5000300,冰弹数量,,95000300,0
5000500,冰弹伤害,,95000500,0
5000700,冰弹范围,,95000700,0
5000900,追加冰弹次数,,95000900,0
5001300,追加冰爆,,95001300,0
5001500,冰弹概率附加冰冻,,95001500,0
5020300,冰弹CD,,95020300,0
5100100,每隔7秒，自动获得陨石技能,,95100100,0
5100101,陨石技能,,95100101,0
5100300,陨石额外范围,,95100300,0
5100500,陨石伤害,,95100500,0
5100700,陨石数量,,95100700,0
5100900,陨石落地后产生冲击波,,95100900,0
5101100,陨石概率附加燃烧,,95101100,0
5120300,陨石CD,,95120300,0
5200100,每隔6秒，自动获得雷击技能,,95200100,0
5200101,雷击技能,,95200101,0
5200300,雷击目标数量,,95200300,0
5200500,雷击伤害,,95200500,0
5200700,雷击概率附加麻痹,,95200700,0
5220300,雷击CD,,95220300,0
7000100,普攻伤害,,97000100,0
7000501,普攻附加概率冰冻,,95001500,0
7000502,普攻附加燃烧,,95101100,0
7000504,普攻附加概率麻痹,,95200700,0
