paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
INT_K,STRING,STRING_S,STRING_S,STRING_S,STRING_S,STRING_S
id,name,equip_affix_desc,equip_symbol,equip_affix_suffix,attr_list_affix_desc,attr_list_affix_suffix
属性ID,备注,装备详情替换描述,装备详情符号,装备详情词条描述后缀,属性列表替换描述,属性列表后缀单位
10511,火焰伤害提高,[火焰]攻击,+,,[火焰],
10512,冰冷伤害提高,[极寒]攻击,+,,[极寒],
10513,闪电伤害提高,[闪电]攻击,+,,[闪电],
10514,毒伤害提高,[剧毒]攻击,+,,[剧毒],
10519,火焰抗性,[火焰]抗性,+,,[color=#FF6060][火焰][/color][color=#93919B]抗性[/color],
10520,冰冷抗性,[极寒]抗性,+,,[color=#63B4E8][极寒][/color][color=#93919B]抗性[/color],
10521,闪电抗性,[闪电]抗性,+,,[color=#EED07E][闪电][/color][color=#93919B]抗性[/color],
10522,毒抗性,[剧毒]抗性,+,,[color=#7ED264][剧毒][/color][color=#93919B]抗性[/color],
10523,灵兽持续时间,召唤灵兽持续时间,+,秒,灵兽持续时间,秒
10524,召唤灵兽冷却时间,召唤灵兽冷却时间,-,秒,技能冷却时间,秒
10531,地下城复活时间,地下城复活时间,-,秒,复活时间,秒
10525,全属性抗性,[全属性]抗性,+,,,
10526,精英怪反击伤害,反击精英怪时伤害,+,,反击对精英怪时造成伤害,
10528,生命恢复,每5秒恢复,,生命,每5秒恢复生命比例,
10529,反射受到的伤害,受到攻击反弹,,伤害,反弹受到的伤害,
10530,免疫自爆,受到自爆伤害,-,,受到自爆伤害降低,
10532,杀怪回血,击败怪物恢复,,生命,击败怪物恢复生命值,
10533,抵抗衰弱诅咒,受到衰弱效果,-,,受到衰弱效果降低,
10534,中毒效果降低,中毒后受到的持续伤害,-,,中毒后受到的持续伤害降低,
10535,受到致命伤害保留1生命,受到致命伤害保留1生命不死,,,受到致命伤害保留1生命不死,
10536,暴击几率,暴击几率,+,,暴击几率,
10537,暴击伤害,暴击伤害,+,,暴击伤害,
10538,移动速度,移动速度,+,,移动速度,
10539,攻击速度,攻击速度,+,,攻击速度,
10544,物理伤害提高,[物理]攻击,+,,附加{N}[物理]伤害,
10546,物理抗性,防御,+,,防御,
10547,打怪获得经验提高,击败怪物获得经验,+,,击败怪物获得经验,
10548,怪物装备掉落几率,怪物掉落装备几率,+,,怪物掉落装备几率,
10549,精英怪额外掉落装备数量,精英怪有几率额外掉落,,件装备,精英怪额外掉落装备数,
10550,精英怪额外掉落装备,精英怪额外掉落装备几率,+,,精英怪额外掉落装备几率,
10551,抵抗破甲诅咒,受到破甲效果,-,,受到破甲效果降低,
10552,韧性值上限,韧性上限,+,,韧性上限,
10555,基础削韧,削韧,+,,削韧,
10556,额外削韧倍率,削韧,+,,削韧,
10557,吸血比例,生命吸取,,,生命吸取,
10558,吸血效果生效冷却时间降低,生命吸取冷却时间,-,,生命吸取冷却时间,
10559,击中回血固定值,击中怪物恢复,,生命,击中怪物恢复,
10560,击中回血生效冷却时间降低,击中敌人恢复生命生效间隔,-,,击中敌人恢复生命冷却时间,
10561,死亡爆炸伤害比例,击败目标后对周围敌人造成伤害,+,,击败目标后对周围敌人造成伤害,
10566,护盾目标的生命值比例,提高,,最大生命值的护盾,,
10567,护盾固定值,护盾,+,,护盾,
10568,对精英怪伤害提升,对精英怪伤害,+,,对精英怪伤害,
10569,对普通怪伤害提高,对普通怪伤害,+,,对普通怪伤害,
10570,受到精英怪伤害降低,受到精英怪伤害,-,,受到精英怪伤害,
10571,受到普通怪伤害降低,受到普通怪伤害,-,,受到普通怪伤害,
10572,受到火伤害降低,受到火伤害,-,,受到火伤害,
10573,受到冰伤害降低,受到冰伤害,-,,受到冰伤害,
10574,受到电伤害降低,受到电伤害,-,,受到电伤害,
10575,受到毒伤害降低,受到毒伤害,-,,受到毒伤害,
10576,受到近战伤害降低,受到近战伤害,-,,受到近战伤害,
10577,受到远程伤害降低,受到远程伤害,-,,受到远程伤害,
10578,受到伤害时对攻击者造成X伤害,反弹伤害,+,,反弹伤害,
10579,眩晕几率,攻击击晕目标的几率,+,,攻击击晕目标的几率,
10580,自己死亡时爆炸，造成范围伤害x点,自身被击败后对敌人造成伤害,+,,自身被击败后对敌人造成伤害,
10581,生命药剂冷却时间降低,生命药剂使用间隔,-,秒,生命药剂使用间隔,秒
10582,药剂生命恢复效果增加,生命药剂效果,+,,生命药剂效果,
10583,药剂免疫时间增加,药剂提供的免疫时间,+,秒,药剂提供的免疫时间,秒
10584,吸收受到的伤害,吸收,,受到的伤害,吸收,受到的伤害
10585,受到伤害的转化成生命值,受到伤害的,,转化为自身生命,受到伤害的,转化为自身生命
10586,火属性爆炸,火焰攻击附带爆炸效果，对目标及周围额外造成,,攻击的伤害,火焰攻击附带爆炸效果，对目标及周围额外造成,攻击的伤害
10587,冰属性溅射,极寒攻击附带溅射效果，对目标及周围额外造成,,攻击的伤害,极寒攻击附带溅射效果，对目标及周围额外造成,攻击的伤害
10588,电属性连锁,闪电攻击附带连锁效果，对目标及周围额外造成,,攻击的伤害,闪电攻击附带连锁效果，对目标及周围额外造成,攻击的伤害
10589,毒属性毒爆,强化剧毒攻击的中毒效果,,,强化剧毒攻击的中毒效果,
10590,防御提升,防御效果,+,,防御效果,
10591,受伤降低,受到伤害,-,,受到伤害,
10592,火属性攻击增加灼烧几率,火焰攻击有几率附带灼烧效果,,,火焰攻击有几率附带灼烧效果,
10593,冰属性攻击增加冰结几率,极寒攻击有几率附带冰结效果,,,极寒攻击有几率附带冰结效果,
10594,电属性攻击增加麻痹几率,闪电攻击有几率附带麻痹效果,,,闪电攻击有几率附带麻痹效果,
10595,毒属性攻击增加中毒几率,剧毒攻击有几率附带中毒效果,,,剧毒攻击有几率附带中毒效果,
10596,触发额外伤害的伤害比例,额外造成,,攻击的伤害,额外造成,攻击的伤害
10611,暗器伤害，普通伤害的X%,暗器伤害,+,,暗器伤害提高,
10613,pvp压制后伤害提高,对玩家伤害,+,,对玩家伤害,
10614,pvp压制后受伤减免,受到玩家伤害,-,,受到玩家伤害,
10615,pvp伤害提高,对玩家伤害,+,,对玩家伤害,
10616,pvp受伤减免,受到玩家伤害,+,,受到玩家伤害,
19,攻击,攻击,+,,,
21,防御,防御,+,,,
23,生命,生命,+,,,
10631,技能[重击]等级,技能[重击]等级,+,,技能[重击]等级,
10632,技能[疾风乱舞]等级,技能[疾风乱舞]等级,+,,技能[疾风乱舞]等级,
10633,技能[大治愈术]等级,技能[大治愈术]等级,+,,技能[大治愈术]等级,
10634,技能[战意觉醒]等级,技能[战意觉醒]等级,+,,技能[战意觉醒]等级,
10635,技能[电掣]等级,技能[电掣]等级,+,,技能[电掣]等级,
10636,技能[五雷破]等级,技能[电枪]等级,+,,技能[电枪]等级,
10637,技能[铃兰]等级,技能[铃兰]等级,+,,技能[铃兰]等级,
10638,技能[金蚕蛊]等级,技能[水仙]等级,+,,技能[水仙]等级,
10639,技能[炎拳]等级,技能[火流星]等级,+,,技能[火流星]等级,
10640,技能[火焰雨]等级,技能[火焰雨]等级,+,,技能[火焰雨]等级,
10641,技能[冰矛]等级,技能[寒霜爆]等级,+,,技能[寒霜爆]等级,
10642,技能[寒冰弹]等级,技能[寒冰弹]等级,+,,技能[寒冰弹]等级,
10643,技能[电枪]等级,技能[五雷破]等级,+,,技能[五雷破]等级,
10644,技能[天雷引]等级,技能[天雷引]等级,+,,技能[天雷引]等级,
10645,技能[水仙]等级,技能[金蚕蛊]等级,+,,技能[金蚕蛊]等级,
10646,技能[碧玉蛊]等级,技能[碧玉蛊]等级,+,,技能[碧玉蛊]等级,
10625,闪避,闪避,,,,
10626,地下城可携带血瓶数量,地下城可使用血瓶次数,+,,,
10627,死亡后复活,死亡后复活,,,,
