paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
INT_K,INT_S,INT_C_S,STRING_S_C_T,STRING,STRING,INT_S,INT_C_S,INT_S
id,is_into_buff,formula_parameter_id,name,attr_desc,nameEnglish,type,figure,initial_value
属性ID,是否进入buff中心,公式属性id,属性名称,属性注释 ,实际属性,属性类型,数值类型,初始值
7101,0,7101,武力,人偶武力值，参数1，固定值,load_percent,5,1,0
7201,0,7201,武力,人偶武力值，参数8，万分比,load_percent,5,2,0
7301,0,7301,武力,人偶武力值，参数4，固定值,load_percent,5,1,0
7401,0,7401,武力,人偶武力值，参数9，万分比,load_percent,5,2,0
7402,0,7402,武力,人偶武力值，参数9，万分比,load_percent,5,2,0
7403,0,7403,武力,人偶武力值，参数9，万分比,load_percent,5,2,0
7404,0,7404,武力,人偶武力值，参数9，万分比,load_percent,5,2,0
7501,0,7501,武力,人偶武力值，参数10，万分比,load_percent,5,2,0
7601,0,7601,武力,人偶武力值，参数11，万分比,load_percent,5,2,0
7701,0,7701,武力,人偶武力值，参数12，万分比,load_percent,5,2,0
8101,0,8101,武力,人偶pve值，参数1，固定值,load_percent,5,1,0
8201,0,8201,武力,人偶pve值，参数8，万分比,load_percent,5,2,0
8301,0,8301,武力,人偶pve值，参数4，固定值,load_percent,5,1,0
8401,0,8401,武力,人偶pve值，参数9，万分比,load_percent,5,2,0
8402,0,8401,武力,人偶pve值，参数9，万分比,load_percent,5,2,0
8403,0,8403,武力,人偶pve值，参数9，万分比,load_percent,5,2,0
8404,0,8404,武力,人偶pve值，参数9，万分比,load_percent,5,2,0
8501,0,8501,武力,人偶pve值，参数10，万分比,load_percent,5,2,0
8601,0,8601,武力,人偶pve值，参数11，万分比,load_percent,5,2,0
8701,0,8701,武力,人偶pve值，参数12，万分比,load_percent,5,2,0
9001,0,9001,武力,展示用人偶武力值，参数1，固定值,load_percent,5,1,0
9101,0,9101,武力,展示用人偶武力值，参数1，固定值,load_percent,5,1,65
9201,0,9201,武力,展示用人偶武力值，参数8，万分比,load_percent,5,2,0
9301,0,9301,武力,展示用人偶武力值，参数4，固定值,load_percent,5,1,0
9401,0,9401,武力,展示用人偶武力值，参数9，万分比,load_percent,5,2,0
