paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
INT_K,INT_C,STRING,INT_C
order,condition_type,desc,value
条件id,条件逻辑id,备注,条件参数
10001,1,血量低于=<百万分比,500000
10002,1,血量低于=<百万分比,400000
10003,1,血量低于=<百万分比,300000
10004,1,血量低于=<百万分比,200000
40001,4,血量低于>百万分比,400000
40002,4,血量低于>百万分比,300000
40003,4,血量低于>百万分比,200000
20000,2,当前刷怪区使用血瓶数量小于等于参数,0
20001,2,当前刷怪区使用血瓶数量小于等于参数,1
20002,2,当前刷怪区使用血瓶数量小于等于参数,2
20003,2,当前刷怪区使用血瓶数量小于等于参数,3
20004,2,当前刷怪区使用血瓶数量小于等于参数,4
20005,2,当前刷怪区使用血瓶数量小于等于参数,5
20006,2,当前刷怪区使用血瓶数量小于等于参数,6
20007,2,当前刷怪区使用血瓶数量小于等于参数,7
20008,2,当前刷怪区使用血瓶数量小于等于参数,8
20009,2,当前刷怪区使用血瓶数量小于等于参数,9
20010,2,当前刷怪区使用血瓶数量小于等于参数,10
30001,3,场上同时存在血瓶数量小于参数,1
