paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
INT_K,INT_C_S,INT_C_S,INT_C_S,INT_C_S,INT_C_S,INT_C_S,STRING,MAP<INT:LONG>_C_S,LIST<INT>_C_S
order,drop_id,drop_cd,in_barries_kill_min,in_barries_kill_max,drop_ratio_min,drop_ratio_max,desc,drop_items,drop_condition
序号,掉落id,掉落cd（毫秒）,杀怪数小,杀怪数大,掉落几率万分比,掉落几率万分比,备注,掉落物品：数量,掉落条件id
10001,1,5000,9,15,0,1500,,48300001:1,"10001,20000,40001"
10002,1,5000,9,15,0,3000,,48300001:1,"10002,20000,40002"
10003,1,5000,9,15,0,6000,,48300001:1,"10003,20000,40003"
10004,1,5000,9,15,0,10000,,48300001:1,"10004,20000"
10005,1,5000,16,27,0,1500,,48300001:1,"10001,20001,40001"
10006,1,5000,16,27,0,3000,,48300001:1,"10002,20001,40002"
10007,1,5000,16,27,0,6000,,48300001:1,"10003,20001,40003"
10008,1,5000,16,27,0,10000,,48300001:1,"10004,20001"
10009,1,5000,28,45,0,1500,,48300001:1,"10001,20002,40001"
10010,1,5000,28,45,0,3000,,48300001:1,"10002,20002,40002"
10011,1,5000,28,45,0,6000,,48300001:1,"10003,20002,40003"
10012,1,5000,28,45,0,10000,,48300001:1,"10004,20002"
10013,1,5000,46,70,0,1500,,48300001:1,"10001,20003,40001"
10014,1,5000,46,70,0,3000,,48300001:1,"10002,20003,40002"
10015,1,5000,46,70,0,6000,,48300001:1,"10003,20003,40003"
10016,1,5000,46,70,0,10000,,48300001:1,"10004,20003"
10017,1,5000,71,110,0,1500,,48300001:1,"10001,20004,40001"
10018,1,5000,71,110,0,3000,,48300001:1,"10002,20004,40002"
10019,1,5000,71,110,0,6000,,48300001:1,"10003,20004,40003"
10020,1,5000,71,110,0,10000,,48300001:1,"10004,20004"
10021,1,5000,111,330,0,1500,,48300001:1,"10001,20005,40001"
10022,1,5000,111,330,0,3000,,48300001:1,"10002,20005,40002"
10023,1,5000,111,330,0,6000,,48300001:1,"10003,20005,40003"
10024,1,5000,111,330,0,10000,,48300001:1,"10004,20005"
20001,2,5000,1,30,0,1500,,48300001:1,"10001,20000,40001"
20002,2,5000,1,30,0,3000,,48300001:1,"10002,20000,40002"
20003,2,5000,1,30,0,6000,,48300001:1,"10003,20000,40003"
20004,2,5000,1,30,0,10000,,48300001:1,"10004,20000"
20005,2,5000,31,70,0,1500,,48300001:1,"10001,20001,40001"
20006,2,5000,31,70,0,3000,,48300001:1,"10002,20001,40002"
20007,2,5000,31,70,0,6000,,48300001:1,"10003,20001,40003"
20008,2,5000,31,70,0,10000,,48300001:1,"10004,20001"
20009,2,5000,71,120,0,1500,,48300001:1,"10001,20002,40001"
20010,2,5000,71,120,0,3000,,48300001:1,"10002,20002,40002"
20011,2,5000,71,120,0,6000,,48300001:1,"10003,20002,40003"
20012,2,5000,71,120,0,10000,,48300001:1,"10004,20002"
20013,2,5000,121,170,0,1500,,48300001:1,"10001,20003,40001"
20014,2,5000,121,170,0,3000,,48300001:1,"10002,20003,40002"
20015,2,5000,121,170,0,6000,,48300001:1,"10003,20003,40003"
20016,2,5000,121,170,0,10000,,48300001:1,"10004,20003"
20017,2,5000,171,220,0,1500,,48300001:1,"10001,20004,40001"
20018,2,5000,171,220,0,3000,,48300001:1,"10002,20004,40002"
20019,2,5000,171,220,0,6000,,48300001:1,"10003,20004,40003"
20020,2,5000,171,220,0,10000,,48300001:1,"10004,20004"
20021,2,5000,221,580,0,1500,,48300001:1,"10001,20005,40001"
20022,2,5000,221,580,0,3000,,48300001:1,"10002,20005,40002"
20023,2,5000,221,580,0,6000,,48300001:1,"10003,20005,40003"
20024,2,5000,221,580,0,10000,,48300001:1,"10004,20005"
110001,11,5000,8,15,0,5000,,48300001:1,20000
110002,11,5000,16,16,0,10000,,48300001:1,20000
110003,11,5000,17,27,0,4500,,48300001:1,20001
110004,11,5000,28,28,0,10000,,48300001:1,20001
110005,11,5000,29,45,0,4000,,48300001:1,20002
110006,11,5000,46,46,0,10000,,48300001:1,20002
110007,11,5000,47,70,0,3000,,48300001:1,20003
110008,11,5000,71,71,0,10000,,48300001:1,20003
110009,11,5000,72,110,0,2000,,48300001:1,20004
110010,11,5000,111,111,0,10000,,48300001:1,20004
110011,11,5000,112,330,0,1000,,48300001:1,20005
120001,12,5000,10,35,0,3000,,48300001:1,20000
120002,12,5000,36,36,0,10000,,48300001:1,20000
120003,12,5000,37,75,0,2500,,48300001:1,20001
120004,12,5000,76,76,0,10000,,48300001:1,20001
120005,12,5000,77,125,0,2000,,48300001:1,20002
120006,12,5000,126,126,0,10000,,48300001:1,20002
120007,12,5000,127,200,0,1500,,48300001:1,20003
120008,12,5000,201,201,0,10000,,48300001:1,20003
120009,12,5000,202,290,0,1000,,48300001:1,20004
120010,12,5000,291,291,0,10000,,48300001:1,20004
120011,12,5000,292,580,0,500,,48300001:1,20005
