paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,INT_S_C,INT_S,INT_S_C,INT_S
order,max_energy,max_energy_all,energy_select,energy_select_all
等级,升到下一级需要的能量点数,到当前等级能量点数总数,提升到当前等级时可以选择能力的次数,当前等级选择能力次数总数
1,10,10,0,0
2,10,20,1,1
3,10,30,1,2
4,20,50,1,3
5,20,70,1,4
6,20,90,1,5
7,30,120,1,6
8,30,150,1,7
9,30,180,1,8
10,40,220,1,9
11,40,260,1,10
12,40,300,1,11
13,50,350,1,12
14,50,400,1,13
15,50,450,1,14
16,60,510,1,15
17,60,570,1,16
18,60,630,1,17
19,70,700,1,18
20,70,770,1,19
21,70,840,1,20
22,80,920,1,21
23,80,1000,1,22
24,80,1080,1,23
25,90,1170,1,24
26,90,1260,1,25
27,90,1350,1,26
28,100,1450,1,27
29,100,1550,1,28
30,100,1650,1,29
31,110,1760,1,30
32,110,1870,1,31
33,110,1980,1,32
34,120,2100,1,33
35,120,2220,1,34
36,120,2340,1,35
37,120,2460,1,36
38,120,2580,1,37
39,120,2700,1,38
40,120,2820,1,39
41,120,2940,1,40
42,120,3060,1,41
43,120,3180,1,42
44,120,3300,1,43
45,120,3420,1,44
46,120,3540,1,45
47,120,3660,1,46
48,120,3780,1,47
49,120,3900,1,48
50,120,4020,1,49
