paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,MAP<INT:LONG>_S,INT_S,INT_S,INT_S,MAP<INT:LONG>_S
order,cycle_award,cycle_time,maxlimit_cycle,can_receive_time,cycle_award_2
关卡id,每周期产出挂机奖励万分比,产出周期（秒）,不领取可储存的奖励周期数,允许领取奖励的时间（秒）,每周期产出挂机稀有奖励万分比
1,46200001:10000,60,720,3600,46800001:100
2,46200001:20000,60,720,3600,46800001:200
3,46200001:30000,60,720,3600,46800001:300
4,46200001:40000,60,720,3600,46800001:400
5,46200001:50000,60,720,3600,46800001:500
6,46200001:60000,60,720,3600,46800001:600
7,46200001:70000,60,720,3600,46800001:700
8,46200001:80000,60,720,3600,46800001:800
9,46200001:90000,60,720,3600,46800001:900
10,46200001:100000,60,720,3600,46800001:1000
11,46200001:110000,60,720,3600,46800001:1100
12,46200001:120000,60,720,3600,46800001:1200
13,46200001:130000,60,720,3600,46800001:1300
14,46200001:140000,60,720,3600,46800001:1400
15,46200001:150000,60,720,3600,46800001:1500
16,46200001:160000,60,720,3600,46800001:1600
17,46200001:170000,60,720,3600,46800001:1700
18,46200001:180000,60,720,3600,46800001:1800
19,46200001:190000,60,720,3600,46800001:1900
20,46200001:200000,60,720,3600,46800001:2000
21,46200001:210000,60,720,3600,46800001:2100
22,46200001:220000,60,720,3600,46800001:2200
23,46200001:230000,60,720,3600,46800001:2300
24,46200001:240000,60,720,3600,46800001:2400
25,46200001:250000,60,720,3600,46800001:2500
26,46200001:260000,60,720,3600,46800001:2600
27,46200001:270000,60,720,3600,46800001:2700
28,46200001:280000,60,720,3600,46800001:2800
29,46200001:290000,60,720,3600,46800001:2900
30,46200001:300000,60,720,3600,46800001:3000
31,46200001:310000,60,720,3600,46800001:3100
32,46200001:320000,60,720,3600,46800001:3200
33,46200001:330000,60,720,3600,46800001:3300
34,46200001:340000,60,720,3600,46800001:3400
35,46200001:350000,60,720,3600,46800001:3500
36,46200001:360000,60,720,3600,46800001:3600
37,46200001:370000,60,720,3600,46800001:3700
38,46200001:380000,60,720,3600,46800001:3800
39,46200001:390000,60,720,3600,46800001:3900
40,46200001:400000,60,720,3600,46800001:4000
41,46200001:410000,60,720,3600,46800001:4100
42,46200001:420000,60,720,3600,46800001:4200
43,46200001:430000,60,720,3600,46800001:4300
44,46200001:440000,60,720,3600,46800001:4400
45,46200001:450000,60,720,3600,46800001:4500
46,46200001:460000,60,720,3600,46800001:4600
47,46200001:470000,60,720,3600,46800001:4700
48,46200001:480000,60,720,3600,46800001:4800
49,46200001:490000,60,720,3600,46800001:4900
50,46200001:500000,60,720,3600,46800001:5000
51,46200001:510000,60,720,3600,46800001:5100
52,46200001:520000,60,720,3600,46800001:5200
53,46200001:530000,60,720,3600,46800001:5300
54,46200001:540000,60,720,3600,46800001:5400
55,46200001:550000,60,720,3600,46800001:5500
56,46200001:560000,60,720,3600,46800001:5600
57,46200001:570000,60,720,3600,46800001:5700
58,46200001:580000,60,720,3600,46800001:5800
59,46200001:590000,60,720,3600,46800001:5900
60,46200001:600000,60,720,3600,46800001:6000
61,46200001:610000,60,720,3600,46800001:6100
62,46200001:620000,60,720,3600,46800001:6200
63,46200001:630000,60,720,3600,46800001:6300
64,46200001:640000,60,720,3600,46800001:6400
65,46200001:650000,60,720,3600,46800001:6500
66,46200001:660000,60,720,3600,46800001:6600
67,46200001:670000,60,720,3600,46800001:6700
68,46200001:680000,60,720,3600,46800001:6800
69,46200001:690000,60,720,3600,46800001:6900
70,46200001:700000,60,720,3600,46800001:7000
71,46200001:710000,60,720,3600,46800001:7100
72,46200001:720000,60,720,3600,46800001:7200
73,46200001:730000,60,720,3600,46800001:7300
74,46200001:740000,60,720,3600,46800001:7400
75,46200001:750000,60,720,3600,46800001:7500
76,46200001:760000,60,720,3600,46800001:7600
77,46200001:770000,60,720,3600,46800001:7700
78,46200001:780000,60,720,3600,46800001:7800
79,46200001:790000,60,720,3600,46800001:7900
80,46200001:800000,60,720,3600,46800001:8000
81,46200001:810000,60,720,3600,46800001:8100
82,46200001:820000,60,720,3600,46800001:8200
83,46200001:830000,60,720,3600,46800001:8300
84,46200001:840000,60,720,3600,46800001:8400
85,46200001:850000,60,720,3600,46800001:8500
86,46200001:860000,60,720,3600,46800001:8600
87,46200001:870000,60,720,3600,46800001:8700
88,46200001:880000,60,720,3600,46800001:8800
89,46200001:890000,60,720,3600,46800001:8900
90,46200001:900000,60,720,3600,46800001:9000
91,46200001:910000,60,720,3600,46800001:9100
92,46200001:920000,60,720,3600,46800001:9200
93,46200001:930000,60,720,3600,46800001:9300
94,46200001:940000,60,720,3600,46800001:9400
95,46200001:950000,60,720,3600,46800001:9500
96,46200001:960000,60,720,3600,46800001:9600
97,46200001:970000,60,720,3600,46800001:9700
98,46200001:980000,60,720,3600,46800001:9800
99,46200001:990000,60,720,3600,46800001:9900
100,46200001:1000000,60,720,3600,46800001:10000
101,46200001:1010000,60,720,3600,46800001:10100
102,46200001:1020000,60,720,3600,46800001:10200
103,46200001:1030000,60,720,3600,46800001:10300
104,46200001:1040000,60,720,3600,46800001:10400
105,46200001:1050000,60,720,3600,46800001:10500
106,46200001:1060000,60,720,3600,46800001:10600
107,46200001:1070000,60,720,3600,46800001:10700
108,46200001:1080000,60,720,3600,46800001:10800
109,46200001:1090000,60,720,3600,46800001:10900
110,46200001:1100000,60,720,3600,46800001:11000
111,46200001:1110000,60,720,3600,46800001:11100
112,46200001:1120000,60,720,3600,46800001:11200
113,46200001:1130000,60,720,3600,46800001:11300
114,46200001:1140000,60,720,3600,46800001:11400
115,46200001:1150000,60,720,3600,46800001:11500
116,46200001:1160000,60,720,3600,46800001:11600
117,46200001:1170000,60,720,3600,46800001:11700
118,46200001:1180000,60,720,3600,46800001:11800
119,46200001:1190000,60,720,3600,46800001:11900
120,46200001:1200000,60,720,3600,46800001:12000
