paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,STRING,STRING,LONG_S_C,MAP<INT:LONG>_S_C,LIST<LONG>_S
order,desc1,desc2,value_int,value_map,value_list
序号,备注,备注,参数,参数,参数
3301,马健,角色创建后默认穿戴的装备id,,42711001:1,
1,张登元,迷宫刷怪区域的地面上装备数量>=配置值时，不再产出装备分(-1表示不限制）,,30001:3_40001:3_50001:3_50002:3,
100,刘舒航,月卡临时buff,,10259:10000_10263:5000,
101,刘舒航,月卡临时buff展示用,,10659:10000_10663:5000,
201,张登元,打怪掉落，每获得1件装备后，界面弹出N选1,3,0:0,
202,张登元,开宝箱每获得1件装备，界面弹出N选1,3,0:0,
301,马健,初始体力值上限,200,0:0,
302,马健,初始体力值,200,0:0,
303,马健,体力值回复速度 N秒：M点体力,,5:1,
304,任颖亮,迷宫体力瓶道具id：对应的体力数量,,49000001:60,
401,王永亮,出现选项时，玩家不选择，倒计时M秒后自动选择一个选项。,60,0:0,
501,张登元,关卡列表展示的最大关卡数量，以当前下一个通关的关卡为基础，展示前N:后M个关卡。,,1:3,
601,马健,属性变化会飘属性变化的id,,0:0,"3010101,3020101,3030101"
701,张登元,死亡后复活等待倒计时（秒）,60,0:0,
801,张炽阳,地宫普攻动作档位和普攻目标个数关系（key-个数，value-档次）（废弃）,,1:1_3:2_5:3,
802,张炽阳,地宫普攻动作档位增加普攻目标个数关系（key-档次，value-个数）,,1:0_2:0_3:0,
901,任颖亮,地宫掉落道具1展示道具id：实际获得道具id,,46200101:46200001,
902,任颖亮,地宫掉落道具2展示道具id：实际获得道具id,,46700101:46700001,
911,任颖亮,挑战失败补差值，经验系数（万分比）,10000,0:0,
912,任颖亮,挑战失败补差值，道具装备系数（万分比）,0,0:0,
921,宋振扬,通关值初始值,10,,
931,于翔,不同类型敌人增加的砝码值进度,,1:1_4:50,
