paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
INT_K,LIST<INT>_S,INT_S,MAP<INT:INT>_S
order,affix_id_set,must_num,affix_group_num
词条前置组id,词条组id,必须拥有的词条数,词条前置所需词条组id:总数量
1010201,1010201,1,0:0
1010202,1010202,1,0:0
1010203,1010203,1,0:0
1010204,1010204,1,0:0
1010501,1010501,1,0:0
1010502,1010502,1,0:0
1010503,1010503,1,0:0
1010504,1010504,1,0:0
1010701,1010701,1,0:0
1010702,1010702,1,0:0
1010703,1010703,1,0:0
1010704,1010704,1,0:0
1010801,1010801,1,0:0
1010802,1010802,1,0:0
1010803,1010803,1,0:0
1010804,1010804,1,0:0
1011001,1011001,1,0:0
1011002,1011002,1,0:0
1011003,1011003,1,0:0
1011004,1011004,1,0:0
1011101,1011101,1,0:0
1011102,1011102,1,0:0
1011103,1011103,1,0:0
1011104,1011104,1,0:0
1011201,1011201,1,0:0
1011202,1011202,1,0:0
1011203,1011203,1,0:0
1011204,1011204,1,0:0
2010101,2010101,1,0:0
2010102,2010102,1,0:0
2010103,2010103,1,0:0
2010104,2010104,1,0:0
2010301,2010301,1,0:0
2010302,2010302,1,0:0
2010303,2010303,1,0:0
2010304,2010304,1,0:0
2010401,2010401,1,0:0
2010402,2010402,1,0:0
2010403,2010403,1,0:0
2010404,2010404,1,0:0
3010101,3010101,1,0:0
3010102,3010102,1,0:0
3010103,3010103,1,0:0
3010104,3010104,1,0:0
3010301,3010301,1,0:0
3010302,3010302,1,0:0
3010303,3010303,1,0:0
3010304,3010304,1,0:0
3010401,3010401,1,0:0
3010402,3010402,1,0:0
3010403,3010403,1,0:0
3010404,3010404,1,0:0
4010101,4010101,1,0:0
4010102,4010102,1,0:0
4010103,4010103,1,0:0
4010104,4010104,1,0:0
4010301,4010301,1,0:0
4010302,4010302,1,0:0
4010303,4010303,1,0:0
4010304,4010304,1,0:0
4010401,4010401,1,0:0
4010402,4010402,1,0:0
4010403,4010403,1,0:0
4010404,4010404,1,0:0
5010101,5010101,1,0:0
5010102,5010102,1,0:0
5010103,5010103,1,0:0
5010104,5010104,1,0:0
5010301,5010301,1,0:0
5010302,5010302,1,0:0
5010303,5010303,1,0:0
5010304,5010304,1,0:0
5010401,5010401,1,0:0
5010402,5010402,1,0:0
5010403,5010403,1,0:0
5010404,5010404,1,0:0
9000101,900010101,1,0:0
9000102,900010202,1,0:0
9000103,900010302,1,0:0
906010202,906010202,1,0:0
906010403,906010403,1,0:0
20101,"2010101,2010102,2010103,2010104,2010105",1,0:0
30101,"3010101,3010102,3010103,3010104,3010105",1,0:0
