paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,LIST<INT>_S,LIST<INT>_S,LIST<INT>_S,LIST<INT>_S
order,certainly_affix_id_list,affix_id_list,weight_adjust1_add,weight_adjust2_sub
词条库id,必出库包括的词条id,库包括的词条id,库词条已选次数影响权重系数（加值，万分比）,库已随次数影响权重系数（减值，万分比）
1,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
2,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
3,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
4,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
5,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
101,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
102,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
103,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
104,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
105,0,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
11,10109011,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
12,10109012,"1010901,1010902,1010903,1010904,1010905,1010906,1010907,1010908,1010909,1010910,905010101,905010202,905010302,905010403,905010503,905010604,905010704,905010805,900010101,900010202,900010302,900010403,900010503,900010604,900010704,900010805",0,
201,0,"800000001,800010101,800010102,800010201,800010202,800010301,800010302,800030101,800030102,800030201,800030202,800100001,800110101,800110102,800110201,800110202,800110301,800110302,800130101,800130102,800130201,800130202,800200001,800210101,800210102,800210201,800210202,800210301,800210302,800230101,800230102,800230201,800230202,801100001,801100101,801100102,801100103,801100201,801100202,801100203,801100301,801100302,801100303",0,
202,0,"800000001,800010101,800010102,800010201,800010202,800010301,800010302,800030101,800030102,800030201,800030202,800100001,800110101,800110102,800110201,800110202,800110301,800110302,800130101,800130102,800130201,800130202,800200001,800210101,800210102,800210201,800210202,800210301,800210302,800230101,800230102,800230201,800230202,801100001,801100101,801100102,801100103,801100201,801100202,801100203,801100301,801100302,801100303",0,
203,0,"800000001,800010101,800010102,800010201,800010202,800010301,800010302,800030101,800030102,800030201,800030202,800100001,800110101,800110102,800110201,800110202,800110301,800110302,800130101,800130102,800130201,800130202,800200001,800210101,800210102,800210201,800210202,800210301,800210302,800230101,800230102,800230201,800230202,801100001,801100101,801100102,801100103,801100201,801100202,801100203,801100301,801100302,801100303",0,
204,0,"800000001,800010101,800010102,800010201,800010202,800010301,800010302,800030101,800030102,800030201,800030202,800100001,800110101,800110102,800110201,800110202,800110301,800110302,800130101,800130102,800130201,800130202,800200001,800210101,800210102,800210201,800210202,800210301,800210302,800230101,800230102,800230201,800230202,801100001,801100101,801100102,801100103,801100201,801100202,801100203,801100301,801100302,801100303",0,
205,0,"800000001,800010101,800010102,800010201,800010202,800010301,800010302,800030101,800030102,800030201,800030202,800100001,800110101,800110102,800110201,800110202,800110301,800110302,800130101,800130102,800130201,800130202,800200001,800210101,800210102,800210201,800210202,800210301,800210302,800230101,800230102,800230201,800230202,801100001,801100101,801100102,801100103,801100201,801100202,801100203,801100301,801100302,801100303",0,
301,0,"700000001,700010101,700010102,700010112,700010122,700010132,700010103,700010104,700010105,700010106,700010107,700010108,700100001,700100101,700100102,700100112,700100122,700100132,700100103,700100104,700100105,700100106,700100107,700100108,700200001,700200101,700200102,700200112,700200122,700200132,700200103,700200104,700200105,700200106,700200107,700200108,700400001,700400002,700400003,700400004,700400101,700400102,700400103,700400104,801100101,801100102,801100103",0,
302,0,"700000001,700010101,700010102,700010112,700010122,700010132,700010103,700010104,700010105,700010106,700010107,700010108,700100001,700100101,700100102,700100112,700100122,700100132,700100103,700100104,700100105,700100106,700100107,700100108,700200001,700200101,700200102,700200112,700200122,700200132,700200103,700200104,700200105,700200106,700200107,700200108,700400001,700400002,700400003,700400004,700400101,700400102,700400103,700400104,801100101,801100102,801100103",0,
303,0,"700000001,700010101,700010102,700010112,700010122,700010132,700010103,700010104,700010105,700010106,700010107,700010108,700100001,700100101,700100102,700100112,700100122,700100132,700100103,700100104,700100105,700100106,700100107,700100108,700200001,700200101,700200102,700200112,700200122,700200132,700200103,700200104,700200105,700200106,700200107,700200108,700400001,700400002,700400003,700400004,700400101,700400102,700400103,700400104,801100101,801100102,801100103",0,
304,0,"700000001,700010101,700010102,700010112,700010122,700010132,700010103,700010104,700010105,700010106,700010107,700010108,700100001,700100101,700100102,700100112,700100122,700100132,700100103,700100104,700100105,700100106,700100107,700100108,700200001,700200101,700200102,700200112,700200122,700200132,700200103,700200104,700200105,700200106,700200107,700200108,700400001,700400002,700400003,700400004,700400101,700400102,700400103,700400104,801100101,801100102,801100103",0,
305,0,"700000001,700010101,700010102,700010112,700010122,700010132,700010103,700010104,700010105,700010106,700010107,700010108,700100001,700100101,700100102,700100112,700100122,700100132,700100103,700100104,700100105,700100106,700100107,700100108,700200001,700200101,700200102,700200112,700200122,700200132,700200103,700200104,700200105,700200106,700200107,700200108,700400001,700400002,700400003,700400004,700400101,700400102,700400103,700400104,801100101,801100102,801100103",0,
401,0,"600100001,600100101,600100102,600100103,600100113,600100201,600100202,600100203,600100301,600100302,600100303,600100401,600100501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
402,0,"600200001,600200101,600200102,600200112,600200103,600200113,600200201,600200202,600200203,600200301,600200302,600200303,600200401,600200501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
403,0,"600300001,600300101,600300102,600300103,600300201,600300202,600300203,600300301,600300302,600300303,600300401,600300501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
404,0,"600400001,600400101,600400102,600400112,600400103,600400201,600400202,600400203,600400301,600400302,600400303,600400401,600400501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
405,0,"600500001,600500101,600500102,600500103,600500113,600500201,600500202,600500203,600500301,600500302,600500303,600500401,600500501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
406,0,"600600001,600600101,600600102,600600112,600600103,600600113,600600201,600600202,600600203,600600301,600600302,600600303,600600401,600600501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
407,0,"600700001,600700101,600700102,600700103,600700201,600700202,600700203,600700301,600700302,600700303,600700401,600700501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
408,0,"600800001,600800101,600800102,600800112,600800103,600800201,600800202,600800203,600800301,600800302,600800303,600800401,600800501","12000,13500,15000,16500,18000,19000,20000","5000,10000"
409,0,"600900001,600900101,600900102",0,10000
