paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
INT_K,INT_S,INT_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S
order,rule_id,energy_lv,pos_1_lib,pos_2_lib,pos_3_lib,pos_4_lib,pos_5_lib,pos_6_lib
序号,规则id,能力等级,位置1指定词条库id:随机权重,位置2指定词条库id:随机权重,位置3指定词条库id:随机权重,位置4指定词条库id:随机权重,位置5指定词条库id:随机权重,位置6指定词条库id:随机权重
100000002,10000,2,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
100000003,10000,3,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
100000004,10000,4,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
100000005,10000,5,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
100000006,10000,6,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
100000007,10000,7,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
100000008,10000,8,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100,1:100_2:100_3:100_4:100_5:100
