paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
INT_K,INT_S,INT_S,INT_S,LIST<INT>_S,INT_S,INT_S,MAP<INT:LONG>_S,STRING_S,STRING_S,LIST<INT>_S,STRING_C,STRING_C
order,affix_group_id,affix_group_order,affix_lv,font_affix_condition,use_num_max,weight,add_attr,affix_name,affix_desc,affix_wildcard,affix_icon_atlas,affix_icon
词条id,词条组id,词条组内编号,词条等级,前置词条id,可使用最大次数,随机权重,实际增加的属性,词条名字,词条的描述,描述通配符id（属性id）,词条图标图集,词条图标
1010201,101,2,1,0,1,100,3040102:3000_9201:3000,攻击,攻击+%s,3040102,SkillBuffIcon_atlas0,3600002
1010202,101,2,2,1010201,1,100,3040102:5000_9201:5000,攻击,攻击+%s,3040102,SkillBuffIcon_atlas0,3600002
1010203,101,2,3,1010202,1,100,3040102:7000_9201:7000,攻击,攻击+%s,3040102,SkillBuffIcon_atlas0,3600002
1010204,101,2,4,1010203,1,100,3040102:10000_9201:10000,攻击,攻击+%s,3040102,SkillBuffIcon_atlas0,3600002
1010205,101,2,5,1010204,1,100,3040102:15000_9201:15000,攻击,攻击+%s,3040102,SkillBuffIcon_atlas0,3600002
1010401,101,4,1,0,3,100,3040202:1500_9201:3000,防御,防御+%s,3040202,SkillBuffIcon_atlas0,3590003
1010501,101,5,1,0,1,100,3040301:3000_9201:5000,攻击伤害,攻击伤害+%s,3040301,SkillBuffIcon_atlas0,3600002
1010502,101,5,2,1010501,1,100,3040301:5000_9201:7000,攻击伤害,攻击伤害+%s,3040301,SkillBuffIcon_atlas0,3600002
1010503,101,5,3,1010502,1,100,3040301:7000_9201:10000,攻击伤害,攻击伤害+%s,3040301,SkillBuffIcon_atlas0,3600002
1010504,101,5,4,1010503,1,100,3040301:10000_9201:15000,攻击伤害,攻击伤害+%s,3040301,SkillBuffIcon_atlas0,3600002
1010505,101,5,5,1010504,1,100,3040301:15000_9201:3000,攻击伤害,攻击伤害+%s,3040301,SkillBuffIcon_atlas0,3600002
1010701,101,7,1,0,1,100,3040701:3000_9201:5000,伤害总加成,伤害总加成+%s,3040701,SkillBuffIcon_atlas0,3600002
1010702,101,7,2,1010701,1,100,3040701:5000_9201:7000,伤害总加成,伤害总加成+%s,3040701,SkillBuffIcon_atlas0,3600002
1010703,101,7,3,1010702,1,100,3040701:7000_9201:10000,伤害总加成,伤害总加成+%s,3040701,SkillBuffIcon_atlas0,3600002
1010704,101,7,4,1010703,1,100,3040701:10000_9201:15000,伤害总加成,伤害总加成+%s,3040701,SkillBuffIcon_atlas0,3600002
1010705,101,7,5,1010704,1,100,3040701:15000_9201:3000,伤害总加成,伤害总加成+%s,3040701,SkillBuffIcon_atlas0,3600002
1010801,101,8,1,0,1,100,3040901:1500_9201:5000,攻击速度,攻击速度+%s,3040901,SkillBuffIcon_atlas0,3600004
1010802,101,8,2,1010801,1,100,3040901:1500_9201:7000,攻击速度,攻击速度+%s,3040901,SkillBuffIcon_atlas0,3600004
1010803,101,8,3,1010802,1,100,3040901:1500_9201:10000,攻击速度,攻击速度+%s,3040901,SkillBuffIcon_atlas0,3600004
1010804,101,8,4,1010803,1,100,3040901:1500_9201:15000,攻击速度,攻击速度+%s,3040901,SkillBuffIcon_atlas0,3600004
1010805,101,8,5,1010804,1,100,3040901:1500_9201:3000,攻击速度,攻击速度+%s,3040901,SkillBuffIcon_atlas0,3600004
1010901,101,9,1,0,1,100,3041501:1_9201:3000,目标数量,目标数量+%s,3041501,SkillBuffIcon_atlas0,3610003
10109011,101,9,1,10109011,1,100,3041501:1_9201:6000,目标数量,目标数量+%s,3041501,SkillBuffIcon_atlas0,3610003
10109012,101,9,1,10109012,1,100,3041501:2_9201:9000,目标数量,目标数量+%s,3041501,SkillBuffIcon_atlas0,3610003
1010902,101,9,2,1010902,1,100,3040102:4000_9201:5000,攻击,攻击+%s,3040102,SkillBuffIcon_atlas0,3600002
