paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,INT_S_C,INT_S_C,INT_S_C,INT_S_C,INT_S
order,energy_id,energy_level,max_energy,energy_select,energy_item_select
序号（能力id*10000+等级,能力id,等级,升到下一级需要的能量点数,提升到当前等级时可以选择能力的次数,提升到当前等级时，可以使用道具触发的选择能力次数
10001,1,1,6,0,100
10002,1,2,12,1,100
10003,1,3,18,1,100
10004,1,4,24,1,100
10005,1,5,30,1,100
10006,1,6,36,1,100
10007,1,7,42,1,100
10008,1,8,48,1,100
10009,1,9,54,1,100
10010,1,10,-1,1,100
20001,2,1,6,0,100
20002,2,2,12,1,100
20003,2,3,18,1,100
20004,2,4,24,1,100
20005,2,5,30,1,100
20006,2,6,36,1,100
20007,2,7,42,1,100
20008,2,8,48,1,100
20009,2,9,54,1,100
20010,2,10,-1,1,100
30001,3,1,6,0,100
30002,3,2,12,1,100
30003,3,3,18,1,100
30004,3,4,24,1,100
30005,3,5,30,1,100
30006,3,6,36,1,100
30007,3,7,42,1,100
30008,3,8,48,1,100
30009,3,9,54,1,100
30010,3,10,-1,1,100
40001,4,1,6,0,100
40002,4,2,12,1,100
40003,4,3,18,1,100
40004,4,4,24,1,100
40005,4,5,30,1,100
40006,4,6,36,1,100
40007,4,7,42,1,100
40008,4,8,48,1,100
40009,4,9,54,1,100
40010,4,10,-1,1,100
50001,5,1,6,0,100
50002,5,2,12,1,100
50003,5,3,18,1,100
50004,5,4,24,1,100
50005,5,5,30,1,100
50006,5,6,36,1,100
50007,5,7,42,1,100
50008,5,8,48,1,100
50009,5,9,54,1,100
50010,5,10,60,1,100
50011,5,11,16,0,100
50012,5,12,24,1,100
50013,5,13,32,1,100
50014,5,14,40,1,100
50015,5,15,50,1,100
50016,5,16,60,1,100
50017,5,17,72,1,100
50018,5,18,84,1,100
50019,5,19,96,1,100
50020,5,20,-1,1,100
60001,6,1,6,0,100
60002,6,2,12,1,100
60003,6,3,18,1,100
60004,6,4,24,1,100
60005,6,5,30,1,100
60006,6,6,36,1,100
60007,6,7,42,1,100
60008,6,8,48,1,100
60009,6,9,54,1,100
60010,6,10,60,1,100
60011,6,11,16,0,100
60012,6,12,24,1,100
60013,6,13,32,1,100
60014,6,14,40,1,100
60015,6,15,50,1,100
60016,6,16,60,1,100
60017,6,17,72,1,100
60018,6,18,84,1,100
60019,6,19,96,1,100
60020,6,20,-1,1,100
70001,7,1,6,0,100
70002,7,2,12,1,100
70003,7,3,18,1,100
70004,7,4,24,1,100
70005,7,5,30,1,100
70006,7,6,36,1,100
70007,7,7,42,1,100
