paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,INT_S,INT_S,INT_S,INT_S
order,quality,pos,limit_num,limit_base2_num
序号,品质,部位,初始化和洗练时，受限制的抗性词条数量,初始化时，受到数量限制的垃圾词条id数量
11000,1,1,0,1
12000,1,2,1,1
13000,1,3,1,1
14000,1,4,1,1
15000,1,5,0,1
16000,1,6,1,1
17000,1,7,1,1
18000,1,8,0,1
31000,3,1,0,1
32000,3,2,1,1
33000,3,3,1,1
34000,3,4,1,1
35000,3,5,0,1
36000,3,6,1,1
37000,3,7,1,1
38000,3,8,0,1
51000,5,1,0,1
52000,5,2,1,1
53000,5,3,1,1
54000,5,4,1,1
55000,5,5,0,1
56000,5,6,1,1
57000,5,7,1,1
58000,5,8,0,1
61000,6,1,0,1
62000,6,2,1,1
63000,6,3,1,1
64000,6,4,1,1
65000,6,5,0,1
66000,6,6,1,1
67000,6,7,1,1
68000,6,8,0,1
71000,7,1,0,1
72000,7,2,1,1
73000,7,3,1,1
74000,7,4,1,1
75000,7,5,0,1
76000,7,6,1,1
77000,7,7,1,1
78000,7,8,0,1
81000,8,1,0,1
82000,8,2,1,1
83000,8,3,1,1
84000,8,4,1,1
85000,8,5,0,1
86000,8,6,1,1
87000,8,7,1,1
88000,8,8,0,1
