paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
INT_K,INT_S,INT_S,INT_S,INT_S,MAP<INT:LONG>_S,MAP<INT:LONG>_S,MAP<INT:LONG>_S,MAP<INT:LONG>_S,INT_S,STRING
affix_id,pool_id,pool_rank,weight,group,add_attr_min,add_attr_max,show_attr_min,show_attr_max,roll_type,desc
词条id,池子id,池子内编号,随机权重,排重组（同id去重）,实际增加属性,实际增加属性,展示属性id,展示属性id,roll值类型,备注
100111201,1001112,1,100,1,9101:10,9101:10,3010101:5,3010101:5,5,解谜装备
100121201,1001212,1,100,1,9101:5,9101:5,3030101:240,3030101:240,5,
100131201,1001312,1,100,1,9101:5,9101:5,3030101:240,3030101:240,5,
100141201,1001412,1,100,1,9101:5,9101:5,3030101:240,3030101:240,5,
100151201,1001512,1,100,1,9101:10,9101:10,3010101:5,3010101:5,5,
100161201,1001612,1,100,1,9101:5,9101:5,3030101:240,3030101:240,5,
100171201,1001712,1,100,1,9101:10,9101:10,3010101:5,3010101:5,5,
100181201,1001812,1,100,1,9101:10,9101:10,3010101:5,3010101:5,5,
100211201,1002112,1,100,1,9101:18,9101:18,3010101:9,3010101:9,5,
100221201,1002212,1,100,1,9101:9,9101:9,3030101:432,3030101:432,5,
100231201,1002312,1,100,1,9101:9,9101:9,3030101:432,3030101:432,5,
100241201,1002412,1,100,1,9101:9,9101:9,3030101:432,3030101:432,5,
100251201,1002512,1,100,1,9101:18,9101:18,3010101:9,3010101:9,5,
100261201,1002612,1,100,1,9101:9,9101:9,3030101:432,3030101:432,5,
100271201,1002712,1,100,1,9101:18,9101:18,3010101:9,3010101:9,5,
100281201,1002812,1,100,1,9101:18,9101:18,3010101:9,3010101:9,5,
100311201,1003112,1,100,1,9101:30,9101:30,3010101:15,3010101:15,5,
100321201,1003212,1,100,1,9101:15,9101:15,3030101:720,3030101:720,5,
100331201,1003312,1,100,1,9101:15,9101:15,3030101:720,3030101:720,5,
100341201,1003412,1,100,1,9101:15,9101:15,3030101:720,3030101:720,5,
100351201,1003512,1,100,1,9101:30,9101:30,3010101:15,3010101:15,5,
100361201,1003612,1,100,1,9101:15,9101:15,3030101:720,3030101:720,5,
100371201,1003712,1,100,1,9101:30,9101:30,3010101:15,3010101:15,5,
100381201,1003812,1,100,1,9101:30,9101:30,3010101:15,3010101:15,5,
100411201,1004112,1,100,1,9101:45,9101:45,3010101:23,3010101:23,5,
100421201,1004212,1,100,1,9101:23,9101:23,3030101:1080,3030101:1080,5,
100431201,1004312,1,100,1,9101:23,9101:23,3030101:1080,3030101:1080,5,
100441201,1004412,1,100,1,9101:23,9101:23,3030101:1080,3030101:1080,5,
100451201,1004512,1,100,1,9101:45,9101:45,3010101:23,3010101:23,5,
100461201,1004612,1,100,1,9101:23,9101:23,3030101:1080,3030101:1080,5,
100471201,1004712,1,100,1,9101:45,9101:45,3010101:23,3010101:23,5,
100481201,1004812,1,100,1,9101:45,9101:45,3010101:23,3010101:23,5,
100511201,1005112,1,100,1,9101:63,9101:63,3010101:32,3010101:32,5,
100521201,1005212,1,100,1,9101:32,9101:32,3030101:1512,3030101:1512,5,
100531201,1005312,1,100,1,9101:32,9101:32,3030101:1512,3030101:1512,5,
100541201,1005412,1,100,1,9101:32,9101:32,3030101:1512,3030101:1512,5,
100551201,1005512,1,100,1,9101:63,9101:63,3010101:32,3010101:32,5,
100561201,1005612,1,100,1,9101:32,9101:32,3030101:1512,3030101:1512,5,
100571201,1005712,1,100,1,9101:63,9101:63,3010101:32,3010101:32,5,
100581201,1005812,1,100,1,9101:63,9101:63,3010101:32,3010101:32,5,
100611201,1006112,1,100,1,9101:83,9101:83,3010101:42,3010101:42,5,
100621201,1006212,1,100,1,9101:42,9101:42,3030101:1992,3030101:1992,5,
100631201,1006312,1,100,1,9101:42,9101:42,3030101:1992,3030101:1992,5,
100641201,1006412,1,100,1,9101:42,9101:42,3030101:1992,3030101:1992,5,
100651201,1006512,1,100,1,9101:83,9101:83,3010101:42,3010101:42,5,
100661201,1006612,1,100,1,9101:42,9101:42,3030101:1992,3030101:1992,5,
100671201,1006712,1,100,1,9101:83,9101:83,3010101:42,3010101:42,5,
100681201,1006812,1,100,1,9101:83,9101:83,3010101:42,3010101:42,5,
100711201,1007112,1,100,1,9101:103,9101:103,3010101:52,3010101:52,5,
100721201,1007212,1,100,1,9101:52,9101:52,3030101:2472,3030101:2472,5,
100731201,1007312,1,100,1,9101:52,9101:52,3030101:2472,3030101:2472,5,
100741201,1007412,1,100,1,9101:52,9101:52,3030101:2472,3030101:2472,5,
100751201,1007512,1,100,1,9101:103,9101:103,3010101:52,3010101:52,5,
100761201,1007612,1,100,1,9101:52,9101:52,3030101:2472,3030101:2472,5,
100771201,1007712,1,100,1,9101:103,9101:103,3010101:52,3010101:52,5,
100781201,1007812,1,100,1,9101:103,9101:103,3010101:52,3010101:52,5,
100811201,1008112,1,100,1,9101:123,9101:123,3010101:62,3010101:62,5,
100821201,1008212,1,100,1,9101:62,9101:62,3030101:2952,3030101:2952,5,
100831201,1008312,1,100,1,9101:62,9101:62,3030101:2952,3030101:2952,5,
100841201,1008412,1,100,1,9101:62,9101:62,3030101:2952,3030101:2952,5,
100851201,1008512,1,100,1,9101:123,9101:123,3010101:62,3010101:62,5,
100861201,1008612,1,100,1,9101:62,9101:62,3030101:2952,3030101:2952,5,
100871201,1008712,1,100,1,9101:123,9101:123,3010101:62,3010101:62,5,
100881201,1008812,1,100,1,9101:123,9101:123,3010101:62,3010101:62,5,
100911201,1009112,1,100,1,9101:143,9101:143,3010101:72,3010101:72,5,
100921201,1009212,1,100,1,9101:72,9101:72,3030101:3432,3030101:3432,5,
100931201,1009312,1,100,1,9101:72,9101:72,3030101:3432,3030101:3432,5,
100941201,1009412,1,100,1,9101:72,9101:72,3030101:3432,3030101:3432,5,
100951201,1009512,1,100,1,9101:143,9101:143,3010101:72,3010101:72,5,
100961201,1009612,1,100,1,9101:72,9101:72,3030101:3432,3030101:3432,5,
100971201,1009712,1,100,1,9101:143,9101:143,3010101:72,3010101:72,5,
100981201,1009812,1,100,1,9101:143,9101:143,3010101:72,3010101:72,5,
101011201,1010112,1,100,1,9101:163,9101:163,3010101:82,3010101:82,5,
101021201,1010212,1,100,1,9101:82,9101:82,3030101:3912,3030101:3912,5,
101031201,1010312,1,100,1,9101:82,9101:82,3030101:3912,3030101:3912,5,
101041201,1010412,1,100,1,9101:82,9101:82,3030101:3912,3030101:3912,5,
101051201,1010512,1,100,1,9101:163,9101:163,3010101:82,3010101:82,5,
101061201,1010612,1,100,1,9101:82,9101:82,3030101:3912,3030101:3912,5,
101071201,1010712,1,100,1,9101:163,9101:163,3010101:82,3010101:82,5,
101081201,1010812,1,100,1,9101:163,9101:163,3010101:82,3010101:82,5,
101111201,1011112,1,100,1,9101:213,9101:213,3010101:102,3010101:112,5,
101121201,1011212,1,100,1,9101:107,9101:107,3030101:4856,3030101:5368,5,
101131201,1011312,1,100,1,9101:107,9101:107,3030101:4856,3030101:5368,5,
101141201,1011412,1,100,1,9101:107,9101:107,3030101:4856,3030101:5368,5,
101151201,1011512,1,100,1,9101:213,9101:213,3010101:102,3010101:112,5,
101161201,1011612,1,100,1,9101:107,9101:107,3030101:4856,3030101:5368,5,
101171201,1011712,1,100,1,9101:213,9101:213,3010101:102,3010101:112,5,
101181201,1011812,1,100,1,9101:213,9101:213,3010101:102,3010101:112,5,
101211201,1012112,1,100,1,9101:235,9101:235,3010101:112,3010101:124,5,
101221201,1012212,1,100,1,9101:118,9101:118,3030101:5358,3030101:5922,5,
101231201,1012312,1,100,1,9101:118,9101:118,3030101:5358,3030101:5922,5,
101241201,1012412,1,100,1,9101:118,9101:118,3030101:5358,3030101:5922,5,
101251201,1012512,1,100,1,9101:235,9101:235,3010101:112,3010101:124,5,
101261201,1012612,1,100,1,9101:118,9101:118,3030101:5358,3030101:5922,5,
101271201,1012712,1,100,1,9101:235,9101:235,3010101:112,3010101:124,5,
101281201,1012812,1,100,1,9101:235,9101:235,3010101:112,3010101:124,5,
101311201,1013112,1,100,1,9101:257,9101:257,3010101:123,3010101:135,5,
101321201,1013212,1,100,1,9101:129,9101:129,3030101:5860,3030101:6476,5,
101331201,1013312,1,100,1,9101:129,9101:129,3030101:5860,3030101:6476,5,
101341201,1013412,1,100,1,9101:129,9101:129,3030101:5860,3030101:6476,5,
101351201,1013512,1,100,1,9101:257,9101:257,3010101:123,3010101:135,5,
101361201,1013612,1,100,1,9101:129,9101:129,3030101:5860,3030101:6476,5,
101371201,1013712,1,100,1,9101:257,9101:257,3010101:123,3010101:135,5,
101381201,1013812,1,100,1,9101:257,9101:257,3010101:123,3010101:135,5,
101411201,1014112,1,100,1,9101:279,9101:279,3010101:133,3010101:147,5,
101421201,1014212,1,100,1,9101:140,9101:140,3030101:6361,3030101:7031,5,
101431201,1014312,1,100,1,9101:140,9101:140,3030101:6361,3030101:7031,5,
101441201,1014412,1,100,1,9101:140,9101:140,3030101:6361,3030101:7031,5,
101451201,1014512,1,100,1,9101:279,9101:279,3010101:133,3010101:147,5,
101461201,1014612,1,100,1,9101:140,9101:140,3030101:6361,3030101:7031,5,
