paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
INT_K,INT_S,INT_S,INT_S,STRING,INT_S,INT_S,INT_S,INT_S,STRING
order,roll_type,get_score_min,get_score_max,desc,weight,roll_range_min,roll_range_max,round_value,roll_type_desc
序号,roll值类型,装备获得分数范围最小值,装备获得分数范围最大值,备注档位,随机范围权重,范围万分比，最小值,范围万分比，最大值,取整数，（随机数/取整数）向上取整*取整数,roll值类型备注
1,0,0,1,1,100,0,200,1,
2,0,2,2,2,100,474,674,1,
3,0,3,3,3,100,947,1147,1,
4,0,4,4,4,100,1421,1621,1,
5,0,5,5,5,100,1895,2095,1,
6,0,6,6,6,100,2368,2568,1,
7,0,7,7,7,100,2842,3042,1,
8,0,8,8,8,100,3316,3516,1,
9,0,9,9,9,100,3789,3989,1,
10,0,10,10,10,100,4263,4463,1,
11,0,11,11,11,100,4737,4937,1,
12,0,12,12,12,100,5211,5411,1,
13,0,13,13,13,100,5684,5884,1,
14,0,14,14,14,100,6158,6358,1,
15,0,15,15,15,100,6632,6832,1,
16,0,16,16,16,100,7105,7305,1,
17,0,17,17,17,100,7579,7779,1,
18,0,18,18,18,100,8053,8253,1,
19,0,19,19,19,100,8526,8726,1,
20,0,20,9999999,20,100,9000,9200,1,
21,0,20,9999999,20,100,10000,10000,1,
101,1,0,1,1,100,0,200,1,
102,1,2,2,2,100,474,674,1,
103,1,3,3,3,100,947,1147,1,
104,1,4,4,4,100,1421,1621,1,
105,1,5,5,5,100,1895,2095,1,
106,1,6,6,6,100,2368,2568,1,
107,1,7,7,7,100,2842,3042,1,
108,1,8,8,8,100,3316,3516,1,
109,1,9,9,9,100,3789,3989,1,
110,1,10,10,10,100,4263,4463,1,
111,1,11,11,11,100,4737,4937,1,
112,1,12,12,12,100,5211,5411,1,
113,1,13,13,13,100,5684,5884,1,
114,1,14,14,14,100,6158,6358,1,
115,1,15,15,15,100,6632,6832,1,
116,1,16,16,16,100,7105,7305,1,
117,1,17,17,17,100,7579,7779,1,
118,1,18,18,18,100,8053,8253,1,
119,1,19,19,19,100,8526,8726,1,
120,1,20,9999999,20,100,9000,9200,1,
121,1,20,9999999,20,20,10000,10000,1,
201,2,0,1,1,100,0,0,1,
202,2,2,2,2,100,643,843,1,
203,2,3,3,3,100,1286,1486,1,
204,2,4,4,4,100,1929,2129,1,
205,2,5,5,5,100,2571,2771,1,
206,2,6,6,6,100,3214,3414,1,
207,2,7,7,7,100,3857,4057,1,
208,2,8,8,8,100,4500,4700,1,
209,2,9,9,9,100,5143,5343,1,
210,2,10,10,10,100,5786,5986,1,
211,2,11,11,11,100,6429,6629,1,
212,2,12,12,12,100,7071,7271,1,
213,2,13,13,13,100,7714,7914,1,
214,2,14,14,14,100,8357,8557,1,
215,2,15,9999999,15,100,9000,9200,1,
216,2,15,9999999,15,20,10000,10000,1,
301,3,0,1,8,100,4500,4700,1,
302,3,2,2,9,100,5143,5343,1,
303,3,3,3,10,100,5786,5986,1,
304,3,4,4,11,100,6429,6629,1,
305,3,5,5,12,100,7071,7271,1,
306,3,6,6,13,100,7714,7914,1,
307,3,7,7,14,100,8357,8557,1,
308,3,8,9999999,15,100,9000,9200,1,
309,3,8,9999999,15,20,10000,10000,1,
401,4,0,1,1,100,0,0,1,
402,4,2,9999999,2,100,0,10000,1,
403,4,2,9999999,2,5,10000,10000,1,
501,5,0,1,1,100,0,0,1,
502,5,2,2,2,100,1286,1486,1,
503,5,3,3,3,100,2571,2771,1,
504,5,4,4,4,100,3857,4057,1,
505,5,5,5,5,100,5143,5343,1,
506,5,6,6,6,100,6429,6629,1,
507,5,7,7,7,100,7714,7914,1,
508,5,8,9999999,8,100,9000,9200,1,
509,5,8,9999999,8,20,10000,10000,1,
601,6,0,1,1,100,0,0,1,
602,6,2,9999999,2,100,10000,10000,1,
701,7,0,1,1,100,2000,2000,1,
702,7,2,9999999,2,100,0,10000,1,
703,7,2,9999999,2,10,10000,10000,1,
100001,1000,0,1,1,100,0,200,1,
100002,1000,2,2,2,100,1000,1200,1,
100003,1000,3,3,3,100,2000,2200,1,
100004,1000,4,4,4,100,3000,3200,1,
100005,1000,5,5,5,100,4000,4200,1,
100006,1000,6,6,6,100,5000,5200,1,
100007,1000,7,7,7,100,6000,6200,1,
100008,1000,8,8,8,100,7000,7200,1,
100009,1000,9,9,9,100,8000,8200,1,
100010,1000,10,9999999,10,100,9000,9200,1,
100011,1000,10,9999999,10,20,10000,10000,1,
100101,1001,0,1,1,100,0,200,1,
100102,1001,2,2,2,100,1000,1200,1,
100103,1001,3,3,3,100,2000,2200,1,
100104,1001,4,4,4,100,3000,3200,1,
100105,1001,5,5,5,100,4000,4200,1,
100106,1001,6,6,6,100,5000,5200,1,
100107,1001,7,7,7,100,6000,6200,1,
100108,1001,8,8,8,100,7000,7200,1,
100109,1001,9,9,9,100,8000,8200,1,
100110,1001,10,9999999,10,100,9000,9200,1,
100111,1001,10,9999999,10,20,10000,10000,1,
100201,1002,0,1,1,100,0,200,1,
100202,1002,2,2,2,100,1000,1200,1,
100203,1002,3,3,3,100,2000,2200,1,
100204,1002,4,4,4,100,3000,3200,1,
100205,1002,5,5,5,100,4000,4200,1,
100206,1002,6,6,6,100,5000,5200,1,
100207,1002,7,7,7,100,6000,6200,1,
100208,1002,8,8,8,100,7000,7200,1,
100209,1002,9,9,9,100,8000,8200,1,
100210,1002,10,9999999,10,100,9000,9200,1,
100211,1002,10,9999999,10,20,10000,10000,1,
100301,1003,0,1,1,100,0,200,1,
100302,1003,2,2,2,100,1000,1200,1,
100303,1003,3,3,3,100,2000,2200,1,
100304,1003,4,4,4,100,3000,3200,1,
100305,1003,5,5,5,100,4000,4200,1,
100306,1003,6,6,6,100,5000,5200,1,
100307,1003,7,7,7,100,6000,6200,1,
