paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
INT_K,STRING,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S
rule_id,desc,sub_type_random,affix_base_num,affix_base_pool,affix_rand_num,affix_rand_pool,affix_mod_num,affix_mod_pool,affix_extra_pool,suite_id,font_soul,tail_soul,soul_affix_base_pool
规则id,备注,装备子类型随机权重,初始基础词条数量,基础词条池:权重（doll_equip_affix_pool_v8）,初始随机词条数量,随机词条:权重（doll_equip_affix_pool_v8）,初始附魔词条数量,附魔词条:权重,额外词条池子id:权重（sp_pool,装备套装id:随机权重,升华头属性：随机权重,升华尾属性：随机权重,升华属性（走基础词条池子id:词条位置(affix_pool
1,指定1级武器刀,1:10,3:100,1001111:1_101141:2_101171:3,2:100,101121:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
37,火木拳套,1:10_3:10_6:10,2:100,1001111:1_101131:2_101141:3,0:0,0:0,0:0,0:0,0:400,0:10,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
38,冰木拳套,1:10_3:10_6:10,2:100,1001111:1_101131:2_101141:3,0:0,0:0,0:0,0:0,0:400,0:10,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
39,电木拳套,1:10_3:10_6:10,2:100,1001111:1_101131:2_101141:3,0:0,0:0,0:0,0:0,0:400,0:10,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
40,毒木拳套,1:10_3:10_6:10,2:100,1001111:1_101131:2_101141:3,0:0,0:0,0:0,0:0,0:400,0:10,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
66,武器火焰伤害提高,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10101:100,0:0,0:0,101:100,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
67,武器极寒伤害提高,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10102:100,0:0,0:0,102:100,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
