paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
INT_K,STRING,STRING,STRING_S,MAP<INT:LONG>_S,LONG_S,LIST<LONG>_S
order,desc_0,desc_1,value_str,value_map,value_int,value_list
序号,备注,功能描述,参数string,map参数,参数,参数list
1,马健、王振虎,装备部位之间的激活关系A：B表示，B激活A,,2:1_1:3_3:6_6:4_4:5_5:7_7:8_8:2,,
2,马健、王振虎,五行属性的激活关系 N:M表示M激活N,,1:1_2:2_3:3_4:4_5:5,,
101,张登元,不同装备类型对应的幸运值上限,,0:0,100,
201,王振虎,初始装备背包格子,,0:0,200,
301,张登元,装备品质对应的最大附魔词条数量,,1:1_3:1_5:2_6:3,,
401,马健,一键换装可切换的套装数量,,0:0,2,
402,马健,一键换装的cd时间（秒）,,0:0,15,
501,王振虎,攻击距离实际属性id：展示属性id,,10143:10543,,
502,王振虎,攻击人数实际属性id：展示属性id,,10141:10541,,
601,马健(这条不生效）,实际属性：全抗【value_int】对应的4种抗性属性id【value_map】,,10119:10000_10120:10000_10121:10000_10122:10000,10125,
602,马健,展示属性：全抗【value_int】对应的4种抗性属性id【value_map】,,10519:10000_10520:10000_10521:10000_10522:10000,10525,
701,王振虎,根据【（装备随机数-随机最小值）/（随机最大值-随机最小值），向下取整】得出的数展示对应颜色,,4000:1_8000:2_10000:3,,
801,马健,装备套装id对应的最大套装部件数量,,1:5_2:5_3:5_4:5_5:5,,
901,马健、贾自杰,属性伤害的属性id对应的客户端用属性伤害的枚举id,,10101:2_10102:1_10103:4_10104:3,,
1001,马健,套装武器展示光效所需要激活的最少套装数量（不是套装/和激活套装属性不同时，武器不展示光效,,2:0,,
1101,王振虎,装备随机属性时，被视为抗性词条的属性id,,0:0,,"10519,10520,10521,10522,10525"
1102,王振虎,装备随机属性时，被视为垃圾词条的属性id,,0:0,,"10568,10569,10570,10571,10572,10573,10574,10575,10576,10577,10578,10579,10580"
1201,张登元,指定品质的装备在被分解时会弹出确认弹窗，弹窗上的文本在toast表中的key=2028,,0:0,,"6,8"
1301,王振虎,装备封印中显示的文本,通关[color=#FFBA00]地下城%s层[/color]可解除封印,0:0,,
1401,王振虎,装备开启技能孔消耗的材料：数量,,45000001:10,,
