paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,15,16,17,18,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,38400001:,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
INT_K,STRING,STRING,INT_S,INT_S_C,INT_S_C,INT_C_S,MAP<INT:INT>_S,STRING,INT_S_C,INT_S_C,MAP<INT:LONG>_S,MAP<INT:INT>_S,INT_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,INT_S,MAP<INT:LONG>_S,MAP<INT:INT>_S,INT_C_S,INT_S_C,STRING,MAP<INT:LONG>_S,INT_S,INT_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:LONG>_S,MAP<INT:INT>_S
equipment_id,name,name2,score_group,quality,pos,pos_sub_type,sub_type_random,desc,level,level_show,sell,split_num,split_random_id,affix_base_num,affix_base_pool,affix_rand_num,affix_rand_pool,affix_mod_num,affix_mod_pool,affix_extra_pool,suite_id,unknow_view_equipment_id,view_cost,view_need_dungeon,weapon_model,id,is_use,preview_attr,attack_type,damage_type,need_dungeon,skill_pos_num,font_soul,tail_soul,recast_cost,soul_affix_base_pool
序号,装备名称,装备名称,记录装备分数的组id,品质,部位,部位子类型,装备子类型随机权重,装备等级,穿戴等级,显示等级,出售价格,分解后获得材料次数：权重,分解随机库id,初始基础词条数量,基础词条池子id:词条位置(affix_pool,初始随机词条数量,随机词条池子id:权重(affix_pool,初始传奇词条数量,传奇词条池子id:权重（mod_pool,额外词条池子id:权重（sp_pool,装备套装id:随机权重,未鉴定的装备id（0-表示不需要鉴定,鉴定消耗,允许鉴定需要通关的副本,武器模型（废弃）,记录装备分数的组id,是否启用,预览属性,攻击方式,伤害类型,允许穿戴需要通关的副本,随机技能孔数量:权重,升华头属性：随机权重,升华尾属性：随机权重,升华属性重铸消耗,升华属性（走基础词条池子id:词条位置(affix_pool
42711001,1级木刀,迷宫,110011,1,1,1,1:10,10,1,1,46700001:1,0:100,0,2:100,1001112:1_1001162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711002,2级木刀,迷宫,110021,1,1,1,1:10,10,2,2,46700001:1,0:100,0,2:100,1002112:1_1002162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711003,3级木刀,迷宫,110031,1,1,1,1:10,10,3,3,46700001:1,0:100,0,2:100,1003112:1_1003162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711004,4级木刀,迷宫,110041,1,1,1,1:10,10,4,4,46700001:1,0:100,0,2:100,1004112:1_1004162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711005,5级木刀,迷宫,110051,1,1,1,1:10,10,5,5,46700001:1,0:100,0,2:100,1005112:1_1005162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711006,6级木刀,迷宫,110061,1,1,1,1:10,10,6,6,46700001:2,0:100,0,2:100,1006112:1_1006162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711007,7级木刀,迷宫,110071,1,1,1,1:10,10,7,7,46700001:2,0:100,0,2:100,1007112:1_1007162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
