paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
INT_K,MAP<INT:LONG>_S,LIST<INT>_S,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
order,cost,result_equip_list,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8
冒险等级,合成消耗,合成结果队列id,备注,备注,备注,备注,备注,备注,备注,备注
1,46800001:10,"101,102,103",101,102,103,,,,,
2,46800001:10,"201,202,203",201,202,203,,,,,
3,46800001:10,"301,302,303",301,302,303,,,,,
4,46800001:10,"401,402,403",401,402,403,,,,,
5,46800001:10,"501,502,503",501,502,503,,,,,
6,46800001:10,"601,602,603",601,602,603,,,,,
7,46800001:10,"701,702,703",701,702,703,,,,,
8,46800001:10,"801,802,803",801,802,803,,,,,
9,46800001:10,"901,902,903",901,902,903,,,,,
10,46800001:10,"1001,1002,1003",1001,1002,1003,,,,,
11,46800001:10,"1101,1102,1103",1101,1102,1103,,,,,
12,46800001:10,"1201,1202,1203",1201,1202,1203,,,,,
13,46800001:10,"1301,1302,1303",1301,1302,1303,,,,,
14,46800001:10,"1401,1402,1403",1401,1402,1403,,,,,
15,46800001:10,"1501,1502,1503",1501,1502,1503,,,,,
16,46800001:10,"1601,1602,1603",1601,1602,1603,,,,,
17,46800001:10,"1701,1702,1703",1701,1702,1703,,,,,
18,46800001:10,"1801,1802,1803",1801,1802,1803,,,,,
19,46800001:10,"1901,1902,1903",1901,1902,1903,,,,,
20,46800001:10,"2001,2002,2003",2001,2002,2003,,,,,
21,46800001:10,"2101,2102,2103",2101,2102,2103,,,,,
22,46800001:10,"2201,2202,2203",2201,2202,2203,,,,,
23,46800001:10,"2301,2302,2303",2301,2302,2303,,,,,
24,46800001:10,"2401,2402,2403",2401,2402,2403,,,,,
25,46800001:10,"2501,2502,2503",2501,2502,2503,,,,,
26,46800001:10,"2601,2602,2603",2601,2602,2603,,,,,
27,46800001:10,"2701,2702,2703",2701,2702,2703,,,,,
28,46800001:10,"2801,2802,2803",2801,2802,2803,,,,,
29,46800001:10,"2901,2902,2903",2901,2902,2903,,,,,
30,46800001:10,"3001,3002,3003",3001,3002,3003,,,,,
31,46800001:10,"3101,3102,3103",3101,3102,3103,,,,,
32,46800001:10,"3201,3202,3203",3201,3202,3203,,,,,
33,46800001:10,"3301,3302,3303",3301,3302,3303,,,,,
34,46800001:10,"3401,3402,3403",3401,3402,3403,,,,,
35,46800001:10,"3501,3502,3503",3501,3502,3503,,,,,
36,46800001:10,"3601,3602,3603",3601,3602,3603,,,,,
37,46800001:10,"3701,3702,3703",3701,3702,3703,,,,,
38,46800001:10,"3801,3802,3803",3801,3802,3803,,,,,
39,46800001:10,"3901,3902,3903",3901,3902,3903,,,,,
40,46800001:10,"4001,4002,4003",4001,4002,4003,,,,,
41,46800001:10,"4101,4102,4103",4101,4102,4103,,,,,
42,46800001:10,"4201,4202,4203",4201,4202,4203,,,,,
43,46800001:10,"4301,4302,4303",4301,4302,4303,,,,,
44,46800001:10,"4401,4402,4403",4401,4402,4403,,,,,
45,46800001:10,"4501,4502,4503",4501,4502,4503,,,,,
46,46800001:10,"4601,4602,4603",4601,4602,4603,,,,,
47,46800001:10,"4701,4702,4703",4701,4702,4703,,,,,
48,46800001:10,"4801,4802,4803",4801,4802,4803,,,,,
49,46800001:10,"4901,4902,4903",4901,4902,4903,,,,,
50,46800001:10,"5001,5002,5003",5001,5002,5003,,,,,
51,46800001:10,"5101,5102,5103",5101,5102,5103,,,,,
