paipaiworld_config,Unnamed: 1,3,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
INT_K,INT_S,INT_S,INT_S,INT_S,MAP<INT:LONG>_S,INT_S,MAP<INT:LONG>_S,MAP<INT:LONG>_S,LIST<INT>_S
order,pos_id,level,next_order,need_other,cost,need_maze_level,add_attr,show_attr,show_attr_order
序号,部位id,当前等级,下一级序号,需要其他部位最低等级,升到下一级消耗,升到下一级需要探险等级,增加属性,展示属性,展示属性排序
10000,1,0,10001,0,46200001:20_46700001:2,0,9101:0,3010101:0,3010101
20000,2,0,20001,0,46200001:20_46700001:2,0,9101:0,3030101:0,3030101
30000,3,0,30001,0,46200001:20_46700001:2,0,9101:0,3020101:0,3020101
40000,4,0,40001,0,46200001:20_46700001:2,0,9101:0,3030101:0,3030101
50000,5,0,50001,0,46200001:20_46700001:2,0,9101:0,3010101:0,3010101
60000,6,0,60001,0,46200001:20_46700001:2,0,9101:0,3020101:0,3020101
70000,7,0,70001,0,46200001:20_46700001:2,0,9101:0,3010101:0,3010101
80000,8,0,80001,0,46200001:20_46700001:2,0,9101:0,3010101:0,3010101
10001,1,1,10002,0,46200001:50_46700001:6,0,9101:8,3010101:4,3010101
20001,2,1,20002,0,46200001:50_46700001:6,0,9101:8,3030101:400,3030101
30001,3,1,30002,0,46200001:50_46700001:6,0,9101:8,3020101:2,3020101
40001,4,1,40002,0,46200001:50_46700001:6,0,9101:8,3030101:400,3030101
50001,5,1,50002,0,46200001:50_46700001:6,0,9101:8,3010101:4,3010101
60001,6,1,60002,0,46200001:50_46700001:6,0,9101:8,3020101:2,3020101
70001,7,1,70002,0,46200001:50_46700001:6,0,9101:8,3010101:4,3010101
80001,8,1,80002,0,46200001:50_46700001:6,0,9101:8,3010101:4,3010101
10002,1,2,10003,0,46200001:80_46700001:10,0,9101:20,3010101:10,3010101
20002,2,2,20003,0,46200001:80_46700001:10,0,9101:20,3030101:980,3030101
30002,3,2,30003,0,46200001:80_46700001:10,0,9101:20,3020101:4,3020101
40002,4,2,40003,0,46200001:80_46700001:10,0,9101:20,3030101:980,3030101
50002,5,2,50003,0,46200001:80_46700001:10,0,9101:20,3010101:10,3010101
60002,6,2,60003,0,46200001:80_46700001:10,0,9101:20,3020101:4,3020101
70002,7,2,70003,0,46200001:80_46700001:10,0,9101:20,3010101:10,3010101
80002,8,2,80003,0,46200001:80_46700001:10,0,9101:20,3010101:10,3010101
10003,1,3,10004,0,46200001:120_46700001:15,0,9101:34,3010101:17,3010101
20003,2,3,20004,0,46200001:120_46700001:15,0,9101:34,3030101:1600,3030101
30003,3,3,30004,0,46200001:120_46700001:15,0,9101:34,3020101:7,3020101
40003,4,3,40004,0,46200001:120_46700001:15,0,9101:34,3030101:1600,3030101
50003,5,3,50004,0,46200001:120_46700001:15,0,9101:34,3010101:17,3010101
60003,6,3,60004,0,46200001:120_46700001:15,0,9101:34,3020101:7,3020101
70003,7,3,70004,0,46200001:120_46700001:15,0,9101:34,3010101:17,3010101
80003,8,3,80004,0,46200001:120_46700001:15,0,9101:34,3010101:17,3010101
