paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
INT_K,INT_S,INT_S,INT_S,INT_S,INT_S,INT_S,INT_S,INT_S,INT_S,INT_S
order,level,quality,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
ID,等级,品质,部位1装备id武器,部位2装备id帽子,部位3装备id衣服,部位4装备id裤子,部位5装备id戒指,部位6装备id鞋子,部位7装备id护腕,部位8装备id项链
1,1,1,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
2,1,3,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
3,1,5,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
4,1,6,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
5,2,1,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
6,2,3,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
7,2,5,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
8,2,6,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
9,3,1,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
10,3,3,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
11,3,5,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
12,3,6,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
13,4,1,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
14,4,3,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
15,4,5,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
16,4,6,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
17,5,1,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
18,5,3,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
19,5,5,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
20,5,6,42711001,42711001,42711001,42711001,42711001,42711001,42711001,42711001
