paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,STRING,INT_C,MAP<INT:INT>_C,INT_C
weapon_model_id,name,slot_id,slot_spine_id,anim_index
模型id,装备名称,槽位id,槽位：对应spine资源id,动画索引
42700010,木枪,1,1:42700010,1
42700020,铁枪,1,1:42700020,1
42700030,青钢枪,1,1:42700030,1
42700040,流云枪,1,1:42700040,1
42700050,飞虹枪,1,1:42700050,1
42700060,紫金枪,1,1:42700060,1
42700070,巨阙枪,1,1:42700070,1
42700080,天罡枪,1,1:42700080,1
42700090,雷荧枪,1,1:42700090,1
42700100,狮吼枪,1,1:42700100,1
42700110,灵蛇枪,1,1:42700110,1
42700120,朱雀灵枪,1,1:42700120,1
42700130,龙形古枪,1,1:42700130,1
42700140,龙王古枪,1,1:42700140,1
42700150,龙皇古枪,1,1:42700150,1
42700160,龙神古枪,1,1:42700160,1
42701010,木刀,3,3:42701010,3
42701020,铁刀,3,3:42701020,3
42701030,青钢刀,3,3:42701030,3
42701040,流云刀,3,3:42701040,3
42701050,飞虹刀,3,3:42701050,3
42701060,紫金刀,3,3:42701060,3
42701070,巨阙刀,3,3:42701070,3
42701080,天罡刀,3,3:42701080,3
42701090,雷荧刀,3,3:42701090,3
42701100,狮吼刀,3,3:42701100,3
42701110,灵蛇刀,3,3:42701110,3
42701120,朱雀灵刀,3,3:42701120,3
42701130,龙形古刀,3,3:42701130,3
42701140,龙王古刀,3,3:42701140,3
42701150,龙皇古刀,3,3:42701150,3
42701160,龙神古刀,3,3:42701160,3
42706010,木棍,1,1:42706010,1
42706020,铁棍,1,1:42706020,1
42706030,青钢棍,1,1:42706030,1
42706040,流云棍,1,1:42706040,1
42706050,飞虹棍,1,1:42706050,1
42706060,紫金棍,1,1:42706060,1
42706070,巨阙棍,1,1:42706070,1
42706080,天罡棍,1,1:42706080,1
42706090,雷荧棍,1,1:42706090,1
42706100,狮吼棍,1,1:42706100,1
42706110,灵蛇棍,1,1:42706110,1
42706120,朱雀灵棍,1,1:42706120,1
42706130,龙形古棍,1,1:42706130,1
42706140,龙王古棍,1,1:42706140,1
42706150,龙皇古棍,1,1:42706150,1
42706160,龙神古棍,1,1:42706160,1
42707010,木剑,1,1:42707010,1
42707020,铁剑,1,1:42707020,1
42707030,青钢剑,1,1:42707030,1
42707040,流云剑,1,1:42707040,1
42707050,飞虹剑,1,1:42707050,1
42707060,紫金剑,1,1:42707060,1
42707070,巨阙剑,1,1:42707070,1
42707080,天罡剑,1,1:42707080,1
42707090,雷荧剑,1,1:42707090,1
42707100,狮吼剑,1,1:42707100,1
42707110,灵蛇剑,1,1:42707110,1
42707120,朱雀灵剑,1,1:42707120,1
42707130,龙形古剑,1,1:42707130,1
42707140,龙王古剑,1,1:42707140,1
42707150,龙皇古剑,1,1:42707150,1
42707160,龙神古剑,1,1:42707160,1
42708010,木双刀,2,2:42708010,2
42708020,铁双刀,2,2:42708020,2
42708030,青钢双刀,2,2:42708030,2
42708040,流云双刀,2,2:42708040,2
42708050,飞虹双刀,2,2:42708050,2
42708060,紫金双刀,2,2:42708060,2
42708070,巨阙双刀,2,2:42708070,2
42708080,天罡双刀,2,2:42708080,2
42708090,雷荧双刀,2,2:42708090,2
42708100,狮吼双刀,2,2:42708100,2
42708110,灵蛇双刀,2,2:42708110,2
42708120,朱雀灵双刀,2,2:42708120,2
42708130,龙形古双刀,2,2:42708130,2
42708140,龙王古双刀,2,2:42708140,2
42708150,龙皇古双刀,2,2:42708150,2
42708160,龙神古双刀,2,2:42708160,2
42709010,木拳,2,3:427091700_4:427091701,3
42709020,铁拳,2,2:42709020,2
42709030,青钢拳,2,2:42709030,2
42709040,流云拳,2,2:42709040,2
42709050,飞虹拳,2,2:42709050,2
42709060,紫金拳,2,2:42709060,2
42709070,巨阙拳,2,2:42709070,2
42709080,天罡拳,2,2:42709080,2
42709090,雷荧拳,2,2:42709090,2
42709100,狮吼拳,2,2:42709100,2
42709110,灵蛇拳,2,2:42709110,2
42709120,朱雀灵拳,2,2:42709120,2
42709130,龙形古拳,2,2:42709130,2
42709140,龙王古拳,2,2:42709140,2
42709150,龙皇古拳,2,2:42709150,2
42709160,龙神古拳,2,2:42709160,2
