paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,INT_S,INT_S,MAP<INT:LONG>_S,MAP<INT:LONG>_S,STRING_S
order,suite_id,affix_num,add_attr,add_attr_show,add_attr_desc
序号,套装id,套装数量,"凑齐对应数量后增加的属性:属性值(直接替换已有,目前实现的是只取当前套的属性）",属性面板展示值,套装效果描述
10002,1,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
10004,1,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
10006,1,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
10008,1,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
20002,2,2,7402:0_8402:0_9402:0_10193:3000_10196:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,冰属性攻击有几率冰冻目标并造成20%冰伤害
20004,2,4,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到所有伤害降低30%
20006,2,6,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,冰伤害增加40%
20008,2,8,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10187:2000_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生溅射伤害，对周围所有目标造成60%冰伤害
30002,3,2,7402:0_8402:0_9402:0_10194:3000_10196:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,电属性攻击有几率麻痹目标并造成20%电伤害
30004,3,4,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,吸收30%受到的伤害
30006,3,6,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,电伤害增加40%
30008,3,8,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10188:2000_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生连锁闪电，对周围所有目标造成60%电伤害
40002,4,2,7402:0_8402:0_9402:0_10195:3000_10196:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,毒属性攻击有几率使目标中毒并造成20%毒伤害
40004,4,4,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到伤害的15%转化为自身生命值
