paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
INT_K,STRING_S,INT_S,LIST<INT>_S,LIST<INT>_S,INT_S,INT_S,LIST<INT>_S,STRING_S
suite_id,suite_name,max_num,pos_list,exclude_attr,counter_weapons_damage_attr,counter_weapons_damage_type,exclude_sub_type,prefix
套装id,套装名称,套装数量,套装部位,套装的排除,套装对应的武器属性id,套装对应的武器伤害类型,套装排除的武器子类型,装备名前缀
1,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
2,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
3,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
4,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
11,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
12,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
13,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
14,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
21,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
22,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
23,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
24,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
31,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
32,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
33,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
34,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
41,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
42,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
43,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
44,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
51,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
52,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
53,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
54,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
61,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
62,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
63,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
64,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
71,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
72,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
73,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
74,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
81,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
82,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
83,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
84,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
91,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
92,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
93,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
94,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
101,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
102,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
103,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
104,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
111,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
112,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
113,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
114,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
121,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
122,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
123,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
124,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
131,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
132,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
133,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
134,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
141,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
142,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
143,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
144,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
151,正义,8,"1,2,3,4,5,6,7,8","10102,10112,10103,10113,10104,10114",10101,2,,熔岩之
152,寒冬,8,"1,2,3,4,5,6,7,8","10101,10111,10103,10113,10104,10114",10102,1,,凛冬之
153,霹雳,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10104,10114",10103,4,,霹雳之
154,枯萎,8,"1,2,3,4,5,6,7,8","10101,10111,10102,10112,10103,10113",10104,3,,枯萎之
