paipaiworld_config,Unnamed: 1
INT_K,MAP<INT:STRING>_S
equipment_id,suite_equip_name
装备id,套装装备名称
42781201,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781202,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781203,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781204,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781205,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781206,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781207,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781208,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781209,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781210,1:初燃之辉_2:初霜之临_3:闪电之击_4:蝰蛇之咬
42781211,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781212,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781213,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781214,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781215,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781216,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781217,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781218,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781219,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781220,1:萤火轻语_2:寒霜轻语_3:破晓轻语_4:污秽轻语
42781221,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781222,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781223,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781224,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781225,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781226,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781227,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781228,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781229,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781230,1:余烬叹息_2:冰晶叹息_3:风雷叹息_4:腐蚀叹息
42781231,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781232,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781233,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781234,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781235,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781236,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781237,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781238,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
42781239,1:燃尽熔火_2:绝对零度_3:闪电主宰_4:致命瘟疫
