paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
INT_K,INT_S_C,INT_S_C,INT_S_C,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING_S_C,STRING_C_S,STRING_C_S,INT_C_S,INT_C_S,INT_C_S
order,equipment_id,pos_sub_type,attr_id,quality,pos,desc1,desc2,desc3,desc4,desc5,name,iconAtlas,icon,weapon_model,maze_model,maze_model_group_id
序号（品质*1E+部位*100W+子类型*10000+属性枚举*1000+id后3位）,装备id,部位子类型,攻击属性id,品质,部位,攻击属性枚举,属性,属性,属性名称,原名称,名称,图集,图标,武器模型,迷宫模型资源,迷宫模型资源组id
900000011,42700001,2,0,0,1,2,无,无,无,人机剑1,人机剑1,show_equip_icon_atlas_0,900000011,900000011,900000011,0
900000012,42700001,2,0,0,1,2,无,无,无,人机剑2,人机剑2,show_equip_icon_atlas_0,900000012,900000012,900000012,0
900000013,42700001,2,0,0,1,2,无,无,无,人机剑3,人机剑3,show_equip_icon_atlas_0,900000013,900000013,900000013,0
900000014,42700001,2,0,0,1,2,无,无,无,人机剑4,人机剑4,show_equip_icon_atlas_0,900000014,900000014,900000014,0
900000015,42700001,2,0,0,1,2,无,无,无,人机剑5,人机剑5,show_equip_icon_atlas_0,900000015,900000015,900000015,0
900000051,42700001,2,0,0,1,2,无,无,无,人机物品1,人机物品1,show_equip_icon_atlas_0,900000051,900000051,900000051,0
900000052,42700001,2,0,0,1,2,无,无,无,人机物品2,人机物品2,show_equip_icon_atlas_0,900000052,900000052,900000052,0
900000053,42700001,2,0,0,1,2,无,无,无,人机物品3,人机物品3,show_equip_icon_atlas_0,900000053,900000053,900000053,0
900000054,42700001,2,0,0,1,2,无,无,无,人机物品4,人机物品4,show_equip_icon_atlas_0,900000054,900000054,900000054,0
900000055,42700001,2,0,0,1,2,无,无,无,人机物品5,人机物品5,show_equip_icon_atlas_0,900000055,900000055,900000055,0
900000056,42700001,2,0,0,1,2,无,无,无,人机物品6,人机物品6,show_equip_icon_atlas_0,900000056,900000056,900000056,0
900000057,42700001,2,0,0,1,2,无,无,无,人机物品7,人机物品7,show_equip_icon_atlas_0,900000057,900000057,900000057,0
900000058,42700001,2,0,0,1,2,无,无,无,人机物品8,人机物品8,show_equip_icon_atlas_0,900000058,900000058,900000058,0
900000059,42700001,2,0,0,1,2,无,无,无,人机物品9,人机物品9,show_equip_icon_atlas_0,900000059,900000059,900000059,0
900000060,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品10,show_equip_icon_atlas_0,900000060,900000060,900000060,0
900000061,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品11,show_equip_icon_atlas_0,900000061,900000061,900000061,0
900000062,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品12,show_equip_icon_atlas_0,900000062,900000062,900000062,0
900000063,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品13,show_equip_icon_atlas_0,900000063,900000063,900000063,0
900000064,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品14,show_equip_icon_atlas_0,900000064,900000064,900000064,0
900000065,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品15,show_equip_icon_atlas_0,900000065,900000065,900000065,0
900000066,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品16,show_equip_icon_atlas_0,900000066,900000066,900000066,0
900000067,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品17,show_equip_icon_atlas_0,900000067,900000067,900000067,0
900000068,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品18,show_equip_icon_atlas_0,900000068,900000068,900000068,0
900000069,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品19,show_equip_icon_atlas_0,900000069,900000069,900000069,0
900000070,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品20,show_equip_icon_atlas_0,900000070,900000070,900000070,0
900000071,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品21,show_equip_icon_atlas_0,900000071,900000071,900000071,0
900000072,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品22,show_equip_icon_atlas_0,900000072,900000072,900000072,0
900000073,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品23,show_equip_icon_atlas_0,900000073,900000073,900000073,0
900000074,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品24,show_equip_icon_atlas_0,900000074,900000074,900000074,0
900000075,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品25,show_equip_icon_atlas_0,900000075,900000075,900000075,0
900000076,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品26,show_equip_icon_atlas_0,900000076,900000076,900000076,0
900000077,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品27,show_equip_icon_atlas_0,900000077,900000077,900000077,0
900000078,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品28,show_equip_icon_atlas_0,900000078,900000078,900000078,0
900000079,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品29,show_equip_icon_atlas_0,900000079,900000079,900000079,0
900000080,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品30,show_equip_icon_atlas_0,900000080,900000080,900000080,0
900000081,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品31,show_equip_icon_atlas_0,900000081,900000081,900000081,0
900000082,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品32,show_equip_icon_atlas_0,900000082,900000082,900000082,0
900000083,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品33,show_equip_icon_atlas_0,900000083,900000083,900000083,0
