paipaiworld_config,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,48.1,18.1,19.1,24.1,Unnamed: 52,18.2,19.2,24.2,Unnamed: 56,2.1
INT_C_S,INT_K,INT_K,STRING_C_S_T,STRING_S_C_T,STRING_C_T,INT_C_S,INT_C_S,STRING_C_S,STRING_C_S,INT_C_S,STRING_C,STRING_C,STRING_C_T,INT_C_S,INT_C_S,INT_C_S,INT_C_S,INT_C_S,INT_C_S,INT_C_S,INT_C_S,MAP<INT:INT>_C_S,MAP<INT:INT>_S_C,INT_C_S,INT_C_S,INT_C_S,INT_C,INT_C,INT_C,INT_C,INT_C_S,INT_C_S,INT_C,STRING_C,INT_C_S,LIST<INT>_C_S,STRING_C_S,LIST<INT>_C,INT_C,INT_C,INT_C_S,INT_C_S,INT_C,STRING_C,STRING_C,INT_C,INT_S,INT_S,INT,INT,MAP<INT:INT>_C,INT_C,INT_S,INT_S,MAP<INT:INT>_S_C,INT_C,INT_S
key_id,type,id,prop_name,name_desc,prop_desc,is_native,pic_token,iconAtlas,icon,quality,iconAtlas_bg_new,icon_bg_new,unit,is_sell,price,sale_id,price_v2,sale_id_v2,is_bag,fly_type,is_rob,diamond_price,diamond_price_v2,strength_pay,protectiontime,is_use,itemcostJump,itemGetJump,get_type,compose_type,if_popup,if_binding,is_showhave,seal_desc,avaliable_time,jumpType,jumpTarget,source,building_source,clean_source,source_type,btn_type,desc_type,iconAtlas_bg,icon_bg,itemGetJump_v2,itemGettype,is_pay,price_v5,sale_id_v5,diamond_price_v5,itemGetJump_v5,price_v8,sale_id_v8,diamond_price_v8,itemGetJump_v8,overtime_type
序号,类型,id,名称,名称描述,类型,是否原生端需要信息,图片资源版本,icon图集文件夹,图标,品质,背景色图集新版,背景色图片新版,单位,能否出售,出售价格,出售后得到货币的ID,培育版出售价格,培育版出售后得到货币的ID,进入仓库类型,飞物品动画类型,能否可抢夺,货币：价格,货币：价格,夺取消耗体力,被夺后保护时间,是否可用,道具消耗跳转,道具获取跳转,获取窗口类型,按钮类型,是否新物品弹窗,是否绑定可拍卖,是否显示拥有数量,seal状态描述,有效期（秒）,跳转类型,跳转目标1,探险来源,建筑来源,清理界面跳转,来源类型,按钮动作,道具描述类型,背景色图集,背景色图片,道具获取跳转,道具添加类型,是否有付费映射,培育版出售价格,培育版出售后得到货币的ID,货币：价格,道具获取跳转,人偶版出售价格,人偶版出售后得到货币的ID,货币：价格,道具获取跳转,倒计时类型（0-默认 1-进船背包
46200002,462,2,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200003,462,3,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200004,462,4,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200005,462,5,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200006,462,6,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200007,462,7,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200008,462,8,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
