paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,LONG_C_S,LONG_C_S,INT_C_S,LONG_C_S,LONG_C_S
order,kongfu_min,kongfu_max,death_less_pro,death_less_min,death_less_max
序号,武力值区间，下限,武力值区间，上限,死亡扣除金币万分比,死亡扣除金币最小数,死亡扣除金币最大数
1,0,500,10000,0,99999999
2,501,650,10000,0,99999999
3,651,1000,10000,0,99999999
4,1001,1400,10000,0,99999999
5,1401,1800,10000,0,99999999
6,1801,2250,10000,0,99999999
7,2251,3000,10000,0,99999999
8,3001,3950,10000,0,99999999
9,3951,4900,10000,0,99999999
10,4901,6000,10000,0,99999999
11,6001,99999999,10000,0,99999999
