paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
INT_K,LONG_S_C,LONG_S_C,INT_S_C
order,kongfu_min,kongfu_max,display_level
序号,玩家武力/主目标武力万分比，下限,玩家武力/主目标武力万分比，上限,刷怪表现等级
1,0,4926,1
2,4927,4950,1
3,4951,4975,1
4,4976,4999,1
5,5000,5128,1
6,5129,5263,1
7,5264,5405,1
8,5406,5555,1
9,5556,5714,1
10,5715,5882,1
11,5883,6060,1
12,6061,6249,1
13,6250,6451,1
14,6452,6666,2
15,6667,6896,2
16,6897,7142,2
17,7143,7407,2
18,7408,7692,2
19,7693,7999,2
20,8000,8333,3
21,8334,8695,3
22,8696,9090,3
23,9091,9523,3
24,9524,9999,3
25,10000,10099,3
26,10100,10199,3
27,10200,10299,3
28,10300,10399,3
29,10400,10499,3
30,10500,10599,3
31,10600,10699,3
32,10700,10799,3
33,10800,10899,3
34,10900,10999,3
35,11000,11099,3
36,11100,11199,3
37,11200,11299,3
38,11300,11399,3
39,11400,11499,3
40,11500,11599,3
41,11600,11699,3
42,11700,11799,3
43,11800,11899,3
44,11900,11999,3
45,12000,12099,3
46,12100,12199,3
47,12200,12299,3
48,12300,12399,3
49,12400,12499,3
50,12500,12599,3
51,12600,12699,3
52,12700,12799,3
53,12800,12899,3
54,12900,12999,3
55,13000,13099,3
56,13100,13199,3
57,13200,13299,3
58,13300,13399,3
59,13400,13499,3
60,13500,13599,3
61,13600,13699,3
62,13700,13799,3
63,13800,13899,3
64,13900,13999,3
65,14000,14099,3
66,14100,14199,3
67,14200,14299,3
68,14300,14399,3
69,14400,14499,3
70,14500,14599,3
71,14600,14699,3
72,14700,14799,3
73,14800,14899,3
74,14900,14999,3
75,15000,15099,3
76,15100,15199,3
77,15200,15299,3
78,15300,15399,3
79,15400,15499,3
80,15500,15599,3
81,15600,15699,3
82,15700,15799,3
83,15800,15899,3
84,15900,15999,3
85,16000,16099,3
86,16100,16299,3
87,16300,16499,3
88,16500,16699,3
89,16700,16899,3
90,16900,17099,3
91,17100,17299,3
92,17300,17499,3
93,17500,17699,3
94,17700,17899,3
95,17900,1500073741823,3
