paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
INT_K,LONG_C,LONG_C,INT_C
order,kongfu_min,kongfu_max,hit_move_ratio
序号,玩家武力/主目标武力万分比，下限,玩家武力/主目标武力万分比，上限,怪物受击被击退的概率万分比
1,0,4926,0
2,4927,4950,0
3,4951,4975,0
4,4976,4999,0
5,5000,5128,0
6,5129,5263,0
7,5264,5405,0
8,5406,5555,0
9,5556,5714,0
10,5715,5882,0
11,5883,6060,0
12,6061,6249,0
13,6250,6451,0
14,6452,6666,0
15,6667,6896,0
16,6897,7142,0
17,7143,7407,0
18,7408,7692,0
19,7693,7999,0
20,8000,8333,0
21,8334,8695,0
22,8696,9090,0
23,9091,9523,0
24,9524,9999,0
25,10000,10099,500
26,10100,10199,500
27,10200,10299,500
28,10300,10399,500
29,10400,10499,500
30,10500,10599,500
31,10600,10699,500
32,10700,10799,500
33,10800,10899,500
34,10900,10999,500
35,11000,11099,500
36,11100,11199,500
37,11200,11299,500
38,11300,11399,500
39,11400,11499,500
40,11500,11599,500
41,11600,11699,500
42,11700,11799,500
43,11800,11899,500
44,11900,11999,500
45,12000,12099,500
46,12100,12199,1500
47,12200,12299,1500
48,12300,12399,1500
49,12400,12499,1500
50,12500,12599,1500
51,12600,12699,1500
52,12700,12799,1500
53,12800,12899,1500
54,12900,12999,1500
55,13000,13099,1500
56,13100,13199,1500
57,13200,13299,1500
58,13300,13399,1500
59,13400,13499,1500
60,13500,13599,1500
61,13600,13699,1500
62,13700,13799,1500
63,13800,13899,1500
64,13900,13999,1500
65,14000,14099,1500
66,14100,14199,1500
67,14200,14299,1500
68,14300,14399,1500
69,14400,14499,1500
70,14500,14599,1500
71,14600,14699,1500
72,14700,14799,1500
73,14800,14899,1500
74,14900,14999,1500
75,15000,15099,1500
76,15100,15199,1500
77,15200,15299,1500
78,15300,15399,1500
79,15400,15499,1500
80,15500,15599,1500
81,15600,15699,1500
82,15700,15799,1500
83,15800,15899,1500
84,15900,15999,1500
85,16000,16099,1500
86,16100,16299,1500
87,16300,16499,1500
88,16500,16699,1500
89,16700,16899,1500
90,16900,17099,1500
91,17100,17299,1500
92,17300,17499,1500
93,17500,17699,1500
94,17700,17899,1500
95,17900,1500073741823,1500
