paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
INT_K,LONG_C_S,LONG_C_S,MAP<INT:LONG>_C_S
order,next_level_need_exp,all_exp,attr
等级,升到下一级需要的经验值,总经验,属性id:属性值
1,200,200,3010101:5_3020101:1_3030101:80_9101:20
2,400,600,3010101:9_3020101:2_3030101:144_9101:36
3,550,1150,3010101:15_3020101:3_3030101:240_9101:60
4,800,1950,3010101:23_3020101:5_3030101:360_9101:90
5,1600,3550,3010101:32_3020101:6_3030101:504_9101:126
6,2400,5950,3010101:42_3020101:8_3030101:664_9101:166
7,3000,8950,3010101:52_3020101:10_3030101:824_9101:206
8,3600,12550,3010101:62_3020101:12_3030101:984_9101:246
9,4000,16550,3010101:72_3020101:14_3030101:1144_9101:286
10,4500,21050,3010101:82_3020101:16_3030101:1304_9101:326
11,5000,26050,3010101:107_3020101:21_3030101:1704_9101:426
12,5500,31550,3010101:118_3020101:24_3030101:1880_9101:470
13,6000,37550,3010101:129_3020101:26_3030101:2056_9101:514
14,6500,44050,3010101:140_3020101:28_3030101:2232_9101:558
15,7000,51050,3010101:151_3020101:30_3030101:2408_9101:602
16,7500,58550,3010101:162_3020101:32_3030101:2584_9101:646
17,8000,66550,3010101:173_3020101:35_3030101:2760_9101:690
18,8500,75050,3010101:184_3020101:37_3030101:2936_9101:734
19,9000,84050,3010101:195_3020101:39_3030101:3112_9101:778
20,9500,93550,3010101:206_3020101:41_3030101:3288_9101:822
21,10000,103550,3010101:233_3020101:47_3030101:3728_9101:932
22,10500,114050,3010101:245_3020101:49_3030101:3920_9101:980
23,11000,125050,3010101:257_3020101:51_3030101:4112_9101:1028
24,11500,136550,3010101:269_3020101:54_3030101:4304_9101:1076
25,12000,148550,3010101:281_3020101:56_3030101:4496_9101:1124
26,12500,161050,3010101:293_3020101:59_3030101:4688_9101:1172
27,13000,174050,3010101:305_3020101:61_3030101:4880_9101:1220
28,13500,187550,3010101:317_3020101:63_3030101:5072_9101:1268
29,14000,201550,3010101:330_3020101:66_3030101:5272_9101:1318
30,14500,216050,3010101:343_3020101:69_3030101:5480_9101:1370
31,15000,231050,3010101:377_3020101:75_3030101:6032_9101:1508
32,15500,246550,3010101:392_3020101:78_3030101:6272_9101:1568
33,16000,262550,3010101:408_3020101:82_3030101:6520_9101:1630
34,16500,279050,3010101:424_3020101:85_3030101:6784_9101:1696
35,17000,296050,3010101:441_3020101:88_3030101:7056_9101:1764
36,17500,313550,3010101:459_3020101:92_3030101:7336_9101:1834
37,18000,331550,3010101:477_3020101:95_3030101:7632_9101:1908
38,18500,350050,3010101:496_3020101:99_3030101:7936_9101:1984
39,19000,369050,3010101:516_3020101:103_3030101:8256_9101:2064
40,19500,388550,3010101:537_3020101:107_3030101:8584_9101:2146
41,20000,408550,3010101:590_3020101:118_3030101:9440_9101:2360
42,20500,429050,3010101:614_3020101:123_3030101:9816_9101:2454
43,21000,450050,3010101:638_3020101:128_3030101:10208_9101:2552
44,21500,471550,3010101:664_3020101:133_3030101:10616_9101:2654
45,22000,493550,3010101:690_3020101:138_3030101:11040_9101:2760
46,22500,516050,3010101:718_3020101:144_3030101:11480_9101:2870
47,23000,539050,3010101:746_3020101:149_3030101:11936_9101:2984
48,23500,562550,3010101:776_3020101:155_3030101:12416_9101:3104
49,24000,586550,3010101:807_3020101:161_3030101:12912_9101:3228
50,24500,611050,3010101:840_3020101:168_3030101:13432_9101:3358
51,25000,636050,3010101:924_3020101:185_3030101:14776_9101:3694
52,25500,661550,3010101:961_3020101:192_3030101:15368_9101:3842
53,26000,687550,3010101:999_3020101:200_3030101:15984_9101:3996
54,26500,714050,3010101:1039_3020101:208_3030101:16624_9101:4156
55,27000,741050,3010101:1081_3020101:216_3030101:17288_9101:4322
56,27500,768550,3010101:1124_3020101:225_3030101:17976_9101:4494
57,28000,796550,3010101:1169_3020101:234_3030101:18696_9101:4674
58,28500,825050,3010101:1215_3020101:243_3030101:19440_9101:4860
59,29000,854050,3010101:1264_3020101:253_3030101:20216_9101:5054
60,29500,883550,3010101:1314_3020101:263_3030101:21024_9101:5256
61,30000,913550,3010101:1446_3020101:289_3030101:23128_9101:5782
62,30500,944050,3010101:1504_3020101:301_3030101:24056_9101:6014
63,31000,975050,3010101:1564_3020101:313_3030101:25016_9101:6254
64,31500,1006550,3010101:1626_3020101:325_3030101:26016_9101:6504
65,32000,1038550,3010101:1691_3020101:338_3030101:27056_9101:6764
