paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
INT_K,INT_C_S,INT_C_S,INT_C,INT_C,STRING,INT_C_S,INT_C,LIST<INT>_C,INT_C_S,INT_C_S,INT_C,LIST<INT>_C
ID,level_id,config_id,monster_id,box_id,desc,add_kungfu,add_weight_value,kill_mons_add_weight_value,add_save_item,save_item_pos,brush_monsters_id,kill_mons_add_save_items
唯一ID,关卡ID,地编配置id,守卫id,宝箱id,备份,增加通关值,增加砝码值,刷怪增加砝码值（刷怪进度，增加砝码值，猪妖后退距离；三个数为一组数据）,增加道具id,掉落道具位置（万分比）,刷怪组id,刷怪增加道具（刷怪进度，增加道具id，掉落道具位置；三个数为一组数据）
10001,1,5002,90000101,,守卫1（火把）,1,,,,,,
10002,1,43001,,,藤蔓吊桥,,,,5,-1,,
10003,1,2001,,,刷怪区域1,2,,,,,1,"9,5,-1,22,5,-1,39,1,3000,60,6,-1,85,5,-1,112,5,-1,142,2,4500,175,6,-1,211,5,-1,249,5,-1,289,6,-1,330,5,-1"
10004,1,5001,90000102,,守卫2（过关点）,1,,,,,,
20001,2,5001,90000201,,守卫1（蓝钥匙）,1,,,,,,
20002,2,16001,,,蓝门,,,,5,-1,,
20003,2,2001,,,刷怪区域1,2,,,,,1,"9,5,-1,22,5,-1,39,1,3000,60,6,-1,85,5,-1,112,5,-1,142,2,4500,175,6,-1,211,5,-1,249,5,-1,289,6,-1,330,5,-1"
20004,2,5002,90000202,,守卫2（浮桥机关）,1,,,,,,
20005,2,6001,,,浮桥机关,,,,,,,
20006,2,17001,,,小芽,,,,,,,
30001,3,5001,90000301,,守卫1（木头）,1,,,,,,
30002,3,28001,,,断桥,,,,5,-1,,
30003,3,2001,,,刷怪区域1,3,,,,,1,"9,5,-1,22,5,-1,39,1,3000,60,6,-1,85,5,-1,112,5,-1,142,2,4500,175,6,-1,211,5,-1,249,5,-1,289,6,-1,330,5,-1"
30004,3,5002,90000302,,守卫2（蓝钥匙）,1,,,,,,
30005,3,16001,,,蓝门,,,,,,,
40001,4,5003,90000400,,守卫0（浮桥机关）,1,,,,,,
40002,4,6001,,,浮桥机关,,,,5,-1,,
40003,4,2001,,,刷怪区域1,3,,,,,1,"9,5,-1,22,5,-1,39,1,3000,60,6,-1,85,5,-1,112,5,-1,142,2,4500,175,6,-1,211,5,-1,249,5,-1,289,6,-1,330,5,-1"
40004,4,5002,90000401,,守卫1（黄钥匙）,1,,,,,,
40005,4,16001,,,黄门,,,,,,,
40006,4,5001,90000402,,守卫2（强化石）,1,,,,,,
40007,4,72001,,40001,强化石,,,,,,,
40008,4,20001,,,石球机关,,,,,,,
50001,5,5002,90000502,,守卫2（石球）,1,,,,,,
50002,5,20001,,,石球机关,,,,5,-1,,
50003,5,28001,,,断桥,,,,,,,
50004,5,2001,,,刷怪区域1,3,,,,,1,"9,5,-1,22,5,-1,39,1,3000,60,6,-1,85,5,-1,112,5,-1,142,2,4500,175,6,-1,211,5,-1,249,5,-1,289,6,-1,330,5,-1"
50005,5,5001,90000503,,守卫3（红钥匙）,2,,,,,,
50006,5,5003,90000504,,守卫4（浮桥机关）,2,,,,,,
50007,5,6001,,,浮桥机关,,,,,,,
50008,5,72001,,50001,强化石,,,,,,,
50009,5,16001,,,红门,,,,,,,
50010,5,16003,,,推箱子门,,,,,,,
60001,6,5002,90000601,,守卫0（强化石）,2,,,,,,
60002,6,72001,,60001,强化石1,,,,,,,
60003,6,5001,90000602,,守卫1（炮弹）,2,,,,,,
60004,6,48001,,,大炮,,,,5,-1,,
60005,6,2001,,,刷怪区域1,3,,,,,1,"6,5,-1,14,1,3000,24,5,-1,36,6,-1,50,5,-1,66,2,4500,84,5,-1,104,5,-1,126,6,-1,150,3,6500,176,5,-1,204,6,-1,234,3,8500,270,5,-1,310,6,-1"
60006,6,5004,90000603,,守卫2（石球）,2,,,,,,
60007,6,54001,,,土墙,,,,,,,
60008,6,72002,,60002,金币1,,,,,,,
60009,6,5008,90000604,,守卫3（石球机关）,2,,,,,,
60010,6,20001,,,石球机关,,,,4,4000,,
60011,6,16001,,,黄门,,,,,,,
60012,6,5003,90000605,,守卫4（火把）,2,,,,,,
60013,6,43001,,,藤蔓吊桥,,,,5,-1,,
60014,6,2003,,,刷怪区域2,4,,,,,2,"6,5,-1,14,1,3000,24,5,-1,36,2,5000,50,5,-1,66,3,7000,84,6,-1,104,6,-1,126,6,-1,150,6,-1,176,6,-1,204,6,-1,234,6,-1,264,6,-1,296,6,-1,330,6,-1"
60015,6,71001,,60003,武器1,,,,,,,
60016,6,5005,90000606,,守卫5（红钥匙）,2,,,,,,
60017,6,16003,,,红门,,,,,,,
60018,6,72004,,60004,金币2,,,,,,,
60019,6,5007,90000607,,守卫6（水壶）,2,,,,,,
60020,6,5006,90000608,,守卫7（强化石）,2,,,,,,
60021,6,72003,,60005,强化石2,,,,,,,
60022,6,17001,,,小芽,,,,,,,
60023,6,30001,,,火门,,,,,,,
70001,7,5015,90000701,,守卫1,2,,,,,,
70002,7,55001,,,石墙,,,,,,,
70003,7,5014,90000702,,守卫2,2,,,,,,
70004,7,5001,90000703,,守卫3（火把）,2,,,,,,
70005,7,5016,90000704,,守卫4（绿钥匙）,2,,,,,,
70006,7,16001,,,绿门,,,,,,,
70007,7,66001,,70001,护甲1,,,,,,,
