paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,INT_S,STRING,LIST<INT>_S,INT_S
order,level_id,desc,monster_id,brush_time
序号,关卡id,波次,怪物id,刷新cd
10001,1,1,10401,60
10002,1,2,10402,60
10003,1,3,10403,60
20001,2,1,20401,60
20002,2,2,20402,60
20003,2,3,20403,60
30001,3,1,30401,180
30002,3,2,30402,180
30003,3,3,30403,180
40001,4,1,40401,180
40002,4,2,40402,180
40003,4,3,40403,180
50001,5,1,50401,180
50002,5,2,50402,180
50003,5,3,50403,180
60001,6,1,60401,360
60002,6,2,60402,360
60003,6,3,60403,360
70001,7,1,70401,360
70002,7,2,70402,360
70003,7,3,70403,360
80001,8,1,80401,360
80002,8,2,80402,360
80003,8,3,80403,360
90001,9,1,90401,360
90002,9,2,90402,360
90003,9,3,90403,360
100001,10,1,100401,360
100002,10,2,100402,360
100003,10,3,100403,360
110001,11,1,110401,360
110002,11,2,110402,360
110003,11,3,110403,360
120001,12,1,120401,360
120002,12,2,120402,360
120003,12,3,120403,360
130001,13,1,130401,360
130002,13,2,130402,360
130003,13,3,130403,360
140001,14,1,140401,360
140002,14,2,140402,360
140003,14,3,140403,360
150001,15,1,150401,360
150002,15,2,150402,360
150003,15,3,150403,360
160001,16,1,160401,360
160002,16,2,160402,360
160003,16,3,160403,360
170001,17,1,170401,360
170002,17,2,170402,360
170003,17,3,170403,360
180001,18,1,180401,360
180002,18,2,180402,360
180003,18,3,180403,360
190001,19,1,190401,360
190002,19,2,190402,360
190003,19,3,190403,360
200001,20,1,200401,360
200002,20,2,200402,360
200003,20,3,200403,360
210001,21,1,210401,360
210002,21,2,210402,360
210003,21,3,210403,360
220001,22,1,220401,360
220002,22,2,220402,360
220003,22,3,220403,360
230001,23,1,230401,360
230002,23,2,230402,360
230003,23,3,230403,360
240001,24,1,240401,360
240002,24,2,240402,360
240003,24,3,240403,360
250001,25,1,250401,360
250002,25,2,250402,360
250003,25,3,250403,360
260001,26,1,260401,360
260002,26,2,260402,360
260003,26,3,260403,360
270001,27,1,270401,360
270002,27,2,270402,360
270003,27,3,270403,360
280001,28,1,280401,360
280002,28,2,280402,360
280003,28,3,280403,360
290001,29,1,290401,360
290002,29,2,290402,360
290003,29,3,290403,360
300001,30,1,300401,360
300002,30,2,300402,360
300003,30,3,300403,360
