paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
INT_K,INT_S,INT_S,STRING,LIST<INT>_S
order,list_id,pos_id,desc,equip_id
序号,队列id,部位id,部位备注,购买到装备的id
1000000,100,0,,"42618001,42633001,42615001,42617001,42632001,42614001,42618001,42634001,42617001,42656001,42612001,42615001,42638001,42614001,42617001,42731001"
1010000,101,0,,"42618001,42633001,42615001,42617001,42632001,42614001,42614001,42636001,42617001,42618001,42751001,42613001,42637001,42634001,42653001,42615001"
1020000,102,0,,"42618001,42633001,42615001,42617001,42632001,42614001,42614001,42636001,42617001,42618001,42751001,42613001,42637001,42634001,42653001,42615001"
1030000,103,0,,"42618001,42633001,42615001,42617001,42632001,42614001,42614001,42636001,42617001,42618001,42751001,42613001,42637001,42634001,42653001,42615001"
1040000,104,0,,"42617001,42615001,42633001,42617001,42632001,42614001,42614001,42636001,42617001,42618001,42751001,42613001,42637001,42634001,42653001,42615001"
2000000,200,0,,"42617002,42632002,42614002,42616002,42635002,42618002,42634002,42617002,42613002,42636002,42615002,42618002,42634002,42617002,42751002,42612002,42615002"
2010000,201,0,,"42617002,42632002,42614002,42616002,42635002,42618002,42634002,42637002,42656002,42618002,42711002,42635002,42612002,42614002,42618002,42751002,42616002"
2020000,202,0,,"42617002,42632002,42614002,42616002,42635002,42618002,42634002,42637002,42656002,42618002,42711002,42635002,42612002,42614002,42618002,42751002,42616002"
2030000,203,0,,"42617002,42632002,42614002,42616002,42635002,42618002,42634002,42637002,42656002,42618002,42711002,42635002,42612002,42614002,42618002,42751002,42616002"
2040000,204,0,,"42617002,42632002,42614002,42616002,42635002,42618002,42634002,42637002,42656002,42618002,42711002,42635002,42612002,42614002,42618002,42751002,42616002"
3000000,300,0,,"42731003,42616003,42638003,42616003,42635003,42618003,42654003,42617003,42613003,42636003,42615003,42618003,42634003,42617003,42751003,42612003,42615003"
3010000,301,0,,"42731003,42616003,42638003,42616003,42635003,42618003,42654003,42617003,42613003,42636003,42615003,42618003,42634003,42617003,42751003,42612003,42634003"
3020000,302,0,,"42731003,42616003,42638003,42616003,42635003,42618003,42654003,42617003,42613003,42636003,42615003,42618003,42634003,42617003,42751003,42612003,42634003"
3030000,303,0,,"42731003,42616003,42638003,42616003,42635003,42618003,42654003,42617003,42613003,42636003,42615003,42618003,42634003,42617003,42751003,42612003,42634003"
3040000,304,0,,"42731003,42616003,42638003,42616003,42635003,42618003,42654003,42617003,42613003,42636003,42615003,42618003,42634003,42617003,42751003,42612003,42634003"
