paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
INT_K,INT_S_C,LIST<INT>_S_C,INT_S_C,MAP<INT:LONG>_S_C,INT_S_C
order,buy_cost,buy_list,buy_list_base2,equip_value_max,need_equip_score
冒险等级,购买需要钱币,购买到装备的队列id,队列走完后，使用的备用队列,部位：主属性最大值,掉落装备需要的积分
1,10,"101,102,103,104",100,1:90_2:45_3:450_6:45_5:45_8:45,10000
2,10,"201,202,203,204",200,1:260_2:130_3:1300_6:130_5:130_8:130,10000
3,30,"301,302,303,304",300,1:620_2:310_3:3100_6:310_5:310_8:310,10000
4,30,"401,402,403,404",400,1:1470_2:735_3:7350_6:735_5:735_8:735,10000
5,80,"501,502,503,504",500,1:3270_2:1635_3:16350_6:1635_5:1635_8:1635,10000
6,80,"601,602,603,604",600,1:6870_2:3435_3:34350_6:3435_5:3435_8:3435,10000
7,150,"701,702,703,704",700,1:15370_2:7685_3:76850_6:7685_5:7685_8:7685,10000
8,150,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
9,400,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
10,900,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
11,900,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
12,2000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
13,4500,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
14,4500,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
15,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
16,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
17,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
18,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
19,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
20,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
21,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
22,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
23,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
24,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
25,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
26,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
27,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
28,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
29,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
30,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
31,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
32,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
33,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
34,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
35,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
36,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
37,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
38,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
39,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
40,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
41,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
42,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
43,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
44,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
45,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
46,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
47,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
48,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
49,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
50,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
51,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
52,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
53,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
54,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
