paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
INT_K,INT_S_C,STRING,STRING,STRING,STRING,STRING,STRING,INT_S_C,MAP<INT:INT>_S_C,INT_S_C
order,type,type_desc,skill,skill_in_order,desc,desc,desc,symbol,value_variable,value
条件id(技能*10000+条件数*100+条件类型,条件类型,备注,技能,技能内条件数,备注,条件配置,触发时间,条件符号,参数变量id:变化值,参数1
1010001,1,累计攻击次数,1,1,攻击次数—触发释放—冰霜新星,累计攻击次数>=12,参数1,12,3550501:2,12
2010002,2,释放技能,2,1,释放冰霜新星—触发释放—冰霜新星,释放冰霜新星,参数1,12,0:0,5000001
3010001,3,使目标获得指定状态,3,1,使目标冰冻时—触发释放—伤害,目标冰冻层数>=1,,12,0:0,55010001
4010003,3,使目标获得指定状态,4,1,使冰冻的目标再次冰冻时—触发释放—伤害,目标冰冻层数>=1,,12,0:0,55010001
4020101,101,目标有冰冻状态,4,2,,目标冰冻层数>=1,,12,0:0,1
5010001,1,累计攻击次数,5,1,攻击次数—触发释放—陨石,累计攻击次数>=8,,12,3560501:2,8
6010102,102,目标有燃烧状态,6,1,,目标燃烧层数>=1,,12,0:0,1
7010001,1,累计攻击次数,7,1,攻击次数—触发释放—闪电链,累计攻击次数>=8,,12,3570501:2,8
8010006,6,造成触电伤害,8,1,造成触电伤害时—触发释放—电磁爆炸,造成触电伤害>=1,,12,0:0,1
9010001,1,累计攻击次数,9,1,攻击次数—触发释放—传染,累计攻击次数>=8,,12,3580501:2,8
10020004,104,目标有指定状态,10,2,,目标中毒层数>=1,,12,0:0,
11010007,7,自身损失生命>=最大生命值百万分比,11,1,每损失%血量时—触发释放—获得护盾,损失20%生命,,12,0:0,200000
12010008,8,当前护盾值>=1,12,1,有护盾时—每秒释放—受到全属性伤害降低,当前护盾值>=1,,12,0:0,1
14010009,9,自身生命值>=最大生命值百万分比,14,1,生命全满时—每秒释放—全属性伤害提升,自身生命值>=100%,,12,0:0,1000000
15010009,9,自身生命值<=最大生命值百万分比,15,1,生命值低于百万分比时—每秒释放—受到全属性伤害降低,自身生命值<=50%,,23,0:0,500000
17010001,1,累计攻击次数,17,1,攻击—触发释放—技能多重打击,累计攻击次数>=8,,12,3600401:2,8
18010001,1,累计攻击次数,18,1,攻击—触发释放—旋风斩,累计攻击次数>=8,,12,3600701:2,8
19010002,2,释放技能,19,1,旋风斩—触发释放—半月斩,释放旋风斩,,12,0:0,10010001
21010001,1,累计攻击次数,21,1,攻击次数—触发释放—技能重击,累计攻击次数>=8,,12,3600201:2,8
23010015,15,攻击命中,23,1,"攻击命中目标,目标血量低于百万分比—触发释放—斩杀",单次攻击同时命中数>=1,,12,0:0,1
23020016,16,目标生命值<=最大生命值百万分比,23,2,,目标血量=<30%,,23,0:0,300000
24010014,14,攻击暴击后,24,1,攻击暴击后，目标血量低于百万分比—触发释放—斩杀,攻击暴击,,12,0:0,1
24020016,16,目标生命值<=最大生命值百万分比,24,2,,目标血量=<60%,,23,0:0,600000
24020017,17,倒计时结束前护盾值从>1降低为<=配置值时,25,1,,倒计时结束前护盾值从>1降低为配置值时,,23,0:0,0
26010001,1,累计攻击次数,26,1,攻击次数—触发回血,废弃,,12,0:0,1
26010002,1,累计攻击次数,,,攻击次数—触发冰冻,废弃,,12,0:0,1
26010003,1,累计攻击次数,,,攻击次数—触发寒霜,废弃,,12,0:0,1
26010004,1,累计攻击次数,,,攻击次数—触发燃烧,废弃,,12,0:0,1
26010005,1,累计攻击次数,,,攻击次数—触发麻痹,废弃,,12,0:0,1
720001,18,战斗中,20001,,,在用,,12,0:0,0
720011,1,累计攻击次数,20011,,攻击次数—附加毒爆,测试技能,,12,0:0,1
720022,19,释放动作技能指定id1次,20022,,爆炎冲刺追加升龙击,测试技能,,2,0:0,20021
720023,21,释放动作技能指定id3次,20023,,爆炎冲刺3次追加砸地,测试技能,,2,0:0,20021
720053,1,累计攻击次数,20053,,攻击次数—触发超强电刃,在用,,12,0:0,4
720032,18,战斗中,20032,,,在用,,12,0:0,0
720033,18,战斗中,20033,,,在用,,12,0:0,0
720034,18,战斗中,20102,,,在用,,12,0:0,0
720051,1,累计攻击次数,20051,,攻击次数—附加电弧,在用,,12,0:0,1
720052,24,普攻概率触发,20052,,普攻概率触发电波,在用,,12,72005201:1,2500
720081,18,战斗中,20081,,,在用,,12,0:0,0
720084,1,累计攻击次数,20084,,攻击次数—附加碎冰,在用,,12,0:0,1
720091,18,战斗中,20091,,,在用,,12,0:0,0
720101,1,累计攻击次数,20101,,攻击次数—附加火焰溅射,在用,,12,0:0,1
720102,1,累计攻击次数,20102,,攻击次数—触发火焰冲击,在用,,12,0:0,1
720103,1,累计攻击次数,20103,,攻击次数—触发引燃,在用,,12,0:0,1
720104,1,累计攻击次数,20104,,攻击次数—触发毁灭风暴,在用,,12,0:0,10
