paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
INT_K,STRING,STRING,INT_S,STRING_S,MAP<INT:INT>_S,INT_S,MAP<INT:INT>_S,INT_S,MAP<INT:INT>_S,INT_S,MAP<INT:INT>_S,INT_S,LIST<INT>_S
order,desc,desc_1,release_time,release_condition,max_release_limit_variable,max_release_limit,auto_release_protect_cd_variable,auto_release_protect_cd,release_ratio_variable,release_ratio,release_num_variable,release_num,skill_id
自动,备注,备注,自动释放时机,自动释放条件,"变量属性id：变化方式（1-基础值+value,2=基础值-value）",每次挑战最大触发次数（0表示无限制）,"变量属性id：变化方式（1-基础值+value,2=基础值-value）",参数-重复触发保护-自动释放冷却时间（毫秒）,"变量属性id：变化方式（1-基础值+value,2=基础值-value）",参数-释放几率,"变量属性id：变化方式（1-基础值+value,2=基础值-value）",参数-释放次数,参数-释放的技能id
550001,攻击次数—触发释放—冰霜新星,1,1,1010001,0:0,-1,0:0,100,0:0,10000,0:0,1,5000001
550002,释放冰霜新星—触发释放—冰霜新星,2,10,2010002,0:0,-1,0:0,100,0:0,10000,0:0,1,5000001
550003,使目标冰冻时—触发释放—伤害,3,15,3010001,0:0,-1,0:0,100,0:0,10000,0:0,1,
550004,使冰冻的目标再次冰冻时—触发释放—伤害,4,15,"and(4010003,40210001)",0:0,-1,0:0,100,0:0,10000,0:0,1,
560001,攻击次数—触发释放—陨石,5,1,5010001,0:0,-1,0:0,100,0:0,10000,0:0,1,6000001
560002,击杀燃烧目标—触发释放—死亡爆炸,6,6,6010102,0:0,-1,0:0,100,0:0,10000,0:0,1,6010001
570001,攻击次数—触发释放—闪电链,7,1,7010001,0:0,-1,0:0,100,0:0,10000,0:0,1,7000001
570002,造成触电伤害时—触发释放—电磁爆炸,8,2,8010006,0:0,-1,0:0,100,0:0,10000,0:0,1,7010001
580001,攻击次数—触发释放—传染,9,1,9010001,0:0,-1,0:0,100,0:0,10000,0:0,1,8000001
580002,击杀中毒目标—触发释放—瘟疫,10,6,10010104,0:0,-1,0:0,100,0:0,10000,0:0,1,8010001
590001,每损失%血量时—触发释放—获得护盾,11,4,11010007,0:0,-1,0:0,100,0:0,10000,0:0,1,59030001
590002,有护盾时—每秒释放—受到全属性伤害降低,12,0,12010008,0:0,-1,0:0,100,0:0,10000,0:0,1,59200001
590003,击杀目标—触发释放—回复生命值,13,6,,0:0,-1,0:0,100,0:0,10000,0:0,1,59090001
590004,生命全满时—每秒释放—全属性伤害提升,14,0,14010009,0:0,-1,0:0,100,0:0,10000,0:0,1,54080001
590005,生命值低于百万分比时—每秒释放—受到全属性伤害降低,15,0,15010009,0:0,-1,0:0,100,0:0,10000,0:0,1,59200001
590006,死亡时—触发释放—技能复活,16,7,,0:0,1,0:0,100,0:0,10000,0:0,1,9000001
600001,攻击—触发释放—技能多重打击,17,1,17010001,0:0,-1,0:0,100,0:0,10000,0:0,1,60010001
600002,攻击—触发释放—旋风斩,18,1,18010001,0:0,-1,0:0,100,0:0,10000,0:0,1,10010001
600003,旋风斩—触发释放—半月斩,19,10,19010002,0:0,-1,0:0,100,0:0,10000,0:0,1,10020001
610001,攻击次数—触发释放—技能重击,21,1,21010001,0:0,-1,0:0,100,0:0,10000,0:0,1,11010001
610002,攻击暴击后—触发释放—自身暴击伤害提高状态、自身攻速提高、攻击次数计数+1,22,2,22010014,0:0,-1,0:0,100,0:0,10000,0:0,1,"61080001,61100001"
610003,攻击命中后，目标血量低于百万分比—触发释放—斩杀,23,2,"and(23010015,23020016)",0:0,-1,0:0,100,0:0,10000,0:0,1,11020001
610004,攻击暴击后，目标血量低于百万分比—触发释放—斩杀,24,2,"and(24010014,24020016)",0:0,-1,0:0,100,0:0,10000,0:0,1,11020001
610005,击杀目标—触发释放—自身暴击率提高,25,6,25010005,0:0,-1,0:0,100,0:0,10000,0:0,1,0
620001,普攻击中目标回复血量（在用）,25,2,26010001,0:0,-1,0:0,0,0:0,10000,0:0,1,59260001
630001,普攻击中目标触发概率冰冻（废弃）,,2,26010002,0:0,-1,0:0,0,0:0,10000,0:0,1,95001500
630002,普攻击中目标触发寒霜（废弃）,,2,26010003,0:0,-1,0:0,0,0:0,10000,0:0,1,0
640001,普攻击中目标触发燃烧（废弃）,,2,26010004,0:0,-1,0:0,0,0:0,10000,0:0,1,95101100
660001,普攻击中目标触发概率麻痹（废弃）,,2,26010004,0:0,-1,0:0,0,0:0,10000,0:0,1,95200700
