paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
INT_K,INT_S_C,INT_S_C,INT_S_C,MAP<INT:INT>_S_C,STRING,STRING_S_C,STRING_S_C,INT_S,STRING_S,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,INT_S_C,INT_S_C,INT_S_C,INT_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,INT_S_C,LIST<INT>_S_C,LIST<INT>_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,LIST<INT>_S_C,LIST<INT>_S_C,INT_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C,MAP<INT:INT>_S_C
id,skill_attr_id,type,priority,level,name_desc,name,desc,auto_release_time,auto_release_condition,skill_cool_time,distance_min,distance_max,is_break,is_no_target,scope_type,target_type,scope_param1,target_num,damage_type,damage_element,damage_element_adjust,main_target_damage_fix,main_target_damage,second_target_damage_fix,second_target_damage,self_effect,target_effect,summon_id,duration,interval,damage_adjustment,trajectory_num
技能id,获得技能对应属性id,技能类型,动作技能释放优先级,技能等级,技能名,技能名,技能描述_文本,自动释放时机,自动释放条件,技能释放冷却时间（豪秒）,最近释放距离,最远释放距离,是否打断当前动作（0-不 1-打断,是否允许无目标释放（0-不允许 1-允许）,释放目标类型,目标阵营,技能效果半径,目标数量,伤害计算类型,参与伤害计算的攻击元素类型（0-物理、1-冰、2-火、3-毒、4-电）,元素伤害系数调整关联属性id（按顺序：物理、冰、火、毒、电，万分比）,主目标直接伤害固定值,主目标直接伤害系数,非主目标直接伤害固定值,非主目标直接伤害系数,释放后自身效果,释放后对目标效果,召唤物id（默认召唤1个）,技能持续时间（毫秒）,技能伤害或效果生效间隔（毫秒）,每次造成伤害后的伤害调整系数,弹道数量
10101,90010101,1,1,0:1,玩家1档平A,攻击,,0,0,1:190010101,1:290010101,1:390010101,0,0,3,2,1:490010101,1:590010101,1,"0,1,2,3,4","7000305,7000301,7000302,7000303,7000304",1:690010101,1:790010101,1:890010101,1:990010101,0,"820051,820080",0,0:0,0:0,0:0,0:0
10102,90010102,1,1,0:1,玩家1档技能,攻击,,0,0,1:190010102,1:290010102,1:390010102,0,0,3,2,1:490010102,1:590010102,1,"0,1,2,3,4","7000305,7000301,7000302,7000303,7000304",1:690010102,1:790010102,1:890010102,1:990010102,0,"820051,820080",0,0:0,0:0,0:0,0:0
10201,90010201,1,1,0:2,玩家2档平A,攻击,,0,0,1:190010201,1:290010201,1:390010201,0,0,3,2,1:490010201,1:590010201,1,"0,1,2,3,4","7000305,7000301,7000302,7000303,7000304",1:690010201,1:790010201,1:890010201,1:990010201,0,"820051,820080",0,0:0,0:0,0:0,0:0
10202,90010202,1,1,0:2,玩家2档技能1,攻击,,0,0,1:190010202,1:290010202,1:390010202,0,0,3,2,1:490010202,1:590010202,1,"0,1,2,3,4","7000305,7000301,7000302,7000303,7000304",1:690010202,1:790010202,1:890010202,1:990010202,0,"820051,820080",0,0:0,0:0,0:0,0:0
10301,90010301,1,1,0:3,玩家3平A,攻击,,0,0,1:190010301,1:290010301,1:390010301,0,0,3,2,1:490010301,1:590010301,1,"0,1,2,3,4","7000305,7000301,7000302,7000303,7000304",1:690010301,1:790010301,1:890010301,1:990010301,0,"820051,820080",0,0:0,0:0,0:0,0:0
10302,90010302,1,1,0:3,玩家3档技能1,攻击,,0,0,1:190010302,1:290010302,1:390010302,0,0,3,2,1:490010302,1:590010302,1,"0,1,2,3,4","7000305,7000301,7000302,7000303,7000304",1:690010302,1:790010302,1:890010302,1:990010302,0,"820051,820080",0,0:0,0:0,0:0,0:0
201001011,0,2,1,0:1,骷髅怪等级1,普通攻击,单体伤害,0,0,0:865,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
201002011,0,2,1,0:1,骷髅怪等级2,普通攻击,单体伤害,0,0,0:865,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
201003001,0,2,1,0:1,骷髅怪等级3,普通攻击,单体伤害,0,0,0:865,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
201004011,0,2,1,0:1,骷髅射手1,普通攻击,单体伤害,0,0,0:625,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
201005001,0,2,1,0:1,骷髅射手2,普通攻击,单体伤害,0,0,0:625,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
201006001,0,2,1,0:1,骷髅射手3,普通攻击,单体伤害,0,0,0:625,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
214001011,0,2,1,0:1,蜘蛛怪等级1,普通攻击,单体伤害,0,0,0:500,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
203001001,0,2,1,0:1,僵尸等级1,普通攻击,单体伤害,0,0,0:1040,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
203002011,0,2,1,0:1,僵尸等级2,普通攻击,单体伤害,0,0,0:830,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
203003001,0,2,1,0:1,僵尸等级3,普通攻击,单体伤害,0,0,0:1040,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
204001001,0,2,1,0:1,狼等级1,普通攻击,单体伤害,0,0,0:660,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
204002001,0,2,1,0:1,狼等级2,普通攻击,单体伤害,0,0,0:660,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
204003001,0,2,1,0:1,狼等级3,普通攻击,单体伤害,0,0,0:665,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
208001001,0,2,1,0:1,女妖精英,普通攻击,单体伤害,0,0,0:785,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
211001001,0,2,1,0:1,沉沦魔等级1,普通攻击,单体伤害,0,0,0:1035,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
211002001,0,2,1,0:1,沉沦魔等级2,普通攻击,单体伤害,0,0,0:1035,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
213003001,0,2,1,0:1,吸血鬼3,普通攻击,单体伤害,0,0,0:865,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
216001001,0,2,1,0:1,石像鬼精英,普通攻击,单体伤害,0,0,0:1080,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
207001001,0,2,1,0:1,熊等级1,普通攻击,单体伤害,0,0,0:957,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
