paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
INT_K,INT_S_C,INT_S_C,INT_S_C,INT_S_C,STRING,STRING,STRING,STRING,MAP<INT:INT>_S_C,INT_S_C,INT_S_C,MAP<INT:INT>_S_C,INT_S_C,INT_S_C,MAP<INT:INT>_S_C,INT_S_C,INT_S_C,LIST<INT>_S_C,MAP<INT:INT>_S_C,INT_S_C,MAP<INT:INT>_S_C,INT_S_C,MAP<INT:INT>_S_C,INT_S_C,INT_S_C,MAP<INT:INT>_S,INT_S,INT_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S,MAP<INT:INT>_S
effect__id,effect_group,in_group_weight,cool_down,attr,desc1,desc2,desc3,desc4,attr_value_variable_id,attr_value_type,attr_value,attr_value_2_variable_id,attr_value_2_type,attr_value_2,attr_value_3_variable_id,attr_value_3_type,attr_value_3,attr_value_4,last_time_variable_id,last_time,base_hitrate_variable_id,base_hitrate,attr_value_7_variable_id,attr_value_7_type,attr_value_7,attr_value_8_variable_id,attr_value_8_type,attr_value_8,modify_attr_value_variable_id,modify_attr_value_type,modify_attr_value_attr_id,modify_attr_value
effect_id,effect组id,同组优先级,重复中buff组的cd时间（毫毫秒）,逻辑属性id,技能效果,buff生效方式,技能名称,参数描述,参数1关联的变量id,参数1数值类型,参数1,参数2关联的变量id,参数2数值类型,参数2,参数3关联的变量id,参数3数值类型,参数3,参数4,持续时长（毫秒）关联的变量id,持续时长（毫秒）,基础命中率变量,基础命中率（万分比）,参数7关联的变量id,参数7数值类型,参数7,参数8关联的变量id,参数8数值类型,参数8结算间隔时间,修改属性关联变量id,修改属性数值类型,修改属性影响属性id,修改属性影响数值
1000001,100,2,0,890001,吃药回血,中buff的目标,药剂效果,吃药回血，【参数1（最大血量百万分比）】+【参数3固定值血量】,890011:1,3,300000,0:0,1,0,0:0,1,0,0,0:0,0,0:0,10000,0:0,1,0,0:0,1,0,0:0,0:0,0:0,0:0
54010001,5401,1,0,3540200,攻击速度提高,技能效果-通用,攻击速度提高,攻击速度提高【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3540201:1,2,2000,0:0,1,0,0:0,1,0,0,3540205:1,7200000,0:0,10000,3540207:1,1,3,0:0,1,0,3540201:1,3540201:2,3540201:3010101,3540201:2000
54020001,5402,1,0,3540400,攻击提高,技能效果-通用,攻击提高,攻击提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3540401:1,2,2000,3540402:1,1,0,0:0,1,0,0,3540405:1,7200000,0:0,10000,3540407:1,1,3,0:0,1,0,3540401:1,3540401:2,3540401:3010101,3540401:2000
54030001,5403,1,0,3540600,防御提高,技能效果-通用,防御提高,防御提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3540601:1,2,2000,3540602:1,1,0,0:0,1,0,0,3540605:1,7200000,0:0,10000,3540607:1,1,3,0:0,1,0,3540601:1,3540601:2,3540601:3010101,3540601:2000
54040001,5404,1,0,3540800,生命提高,技能效果-通用,生命提高,生命提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3540801:1,2,2000,3540802:1,1,0,0:0,1,0,0,3540805:1,7200000,0:0,10000,3540807:1,1,3,0:0,1,0,3540801:1,3540801:2,3540801:3010101,3540801:2000
54050001,5405,1,0,3541000,击中回血效果提高,技能效果-通用,击中回血效果提高,击中回血效果提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3541001:1,2,500,3541002:1,1,0,0:0,1,0,0,3541005:1,4000,0:0,10000,3541007:1,1,3,0:0,1,0,3541001:1,3541001:2,3541001:3010101,3541001:2000
54060001,5406,1,0,3541200,暴击几率提高,技能效果-通用,暴击几率提高,暴击几率提高【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3541201:1,2,2000,0:0,1,0,0:0,1,0,0,3541205:1,7200000,0:0,10000,3541207:1,1,3,0:0,1,0,3541201:1,3541201:2,3541201:3010101,3541201:2000
54070001,5407,1,0,3541400,暴击伤害提高,技能效果-通用,暴击伤害提高,暴击伤害提高【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3541401:1,2,500,0:0,1,0,0:0,1,0,0,3541405:1,4000,0:0,10000,3541407:1,1,3,0:0,1,0,3541401:1,3541401:2,3541401:3010101,3541401:2000
54080001,5408,1,0,3541600,伤害提高,技能效果-通用,全属性伤害提高,伤害提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3541601:1,2,500,3541602:1,1,0,0:0,1,0,0,3541605:1,4000,0:0,10000,3541607:1,1,3,0:0,1,0,3541601:1,3541601:2,3541601:3010101,3541601:2000
