paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
INT_K,STRING,STRING,STRING,STRING_S_C,INT_S,INT_S,LIST<INT>_S
msg_id,msg_type_desc,msg_type_desc_1,msg_type_desc_2,msg_text,display_time,msg_order,text_wildcard
消息id,事件类型,事件类型,事件类型,消息内容（没有格式化内容）,展示时长（秒）时间=0表示不会展示信息,展示优先级,内容通配符id（废字段）
2011,,,强化不够一套每次点击强化按钮提示：,所有部位达到N级才可继续强化,2,1,
2012,,,强化到对应的强化等级后，再次点击强化按钮提示：,等级达到N级才可继续强化,2,1,
2018,,,穿戴装备，连续点击多次，提示：,操作太频繁,2,1,
2019,,,装备进入临时背包，自动穿戴弹窗出现，时间正好卡在临时背包过期，又要穿戴这件装备的时候，有个报错提示：,装备不存在,2,1,
2021,,,装备要求的人物等级不足，提示：,等级不足，无法穿戴,2,1,
2024,,,装备位未全部解锁就强化，提示：,解锁全部装备位后可强化,2,1,
2027,,,临时背包装备不存在点击预览装备提示：,预览装备不存在,2,1,
2031,王振虎,,分解装备时，选中的装备有已经被分解掉的装备。,选中的部分装备已经被分解,2,1,
